Stove Type,Laser 73/730,Latitude,64.89163,Longitude,-147.674,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543383368.0,2,165770,11770
1543383526.0,1,167028,12115
1543383703.0,2,169659,10884
1543384058.0,-1,-1,10884
1543384358.0,-1,-1,11188
1543384658.0,-1,-1,11004
1543384957.0,-1,-1,10479
1543385132.0,4,181024,10423
1543385489.0,-1,-1,10707
1543385788.0,-1,-1,11314
1543386088.0,-1,-1,11377
1543386387.0,-1,-1,11637
1543386687.0,-1,-1,11314
1543386986.0,-1,-1,11506
1543387043.0,2,181641,11126
1543387204.0,1,182931,11251
1543387380.0,2,185537,10884
1543387736.0,-1,-1,10825
1543388035.0,-1,-1,11188
1543388335.0,-1,-1,10423
1543388623.0,4,195425,10312
1543388980.0,-1,-1,11065
1543389279.0,-1,-1,11314
1543389578.0,-1,-1,11251
1543389878.0,-1,-1,11770
1543390177.0,-1,-1,11571
1543390477.0,-1,-1,11377
1543390602.0,1,195427,11704
1543390658.0,2,196114,11838
1543390821.0,1,197421,11506
1543390996.0,2,200026,11251
1543391352.0,-1,-1,11188
1543391652.0,-1,-1,10766
1543391952.0,-1,-1,10825
1543392192.0,4,209536,10884
1543392549.0,-1,-1,11065
1543392848.0,-1,-1,10944
1543393148.0,-1,-1,10479
1543393447.0,-1,-1,11506
1543393747.0,-1,-1,11126
1543394046.0,-1,-1,11188
1543394346.0,-1,-1,11441
1543394645.0,-1,-1,11377
1543394945.0,-1,-1,11571
1543395244.0,-1,-1,11770
1543395374.0,1,209539,11637
1543395429.0,2,210239,11637
1543395785.0,-1,-1,11188
1543396085.0,-1,-1,11251
1543396384.0,-1,-1,11004
1543396684.0,-1,-1,10825
1543396983.0,-1,-1,11004
1543397118.0,4,223669,11004
1543397474.0,-1,-1,10707
1543397773.0,-1,-1,11004
1543398073.0,-1,-1,10766
1543398372.0,-1,-1,11571
1543398672.0,-1,-1,11441
1543398971.0,-1,-1,11188
1543399271.0,-1,-1,10766
1543399571.0,-1,-1,11571
1543399870.0,-1,-1,11506
1543400170.0,-1,-1,11770
1543400470.0,-1,-1,12115
