Stove Type,Laser 73/730,Latitude,64.84648,Longitude,-147.826,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1544523659.0,2,0,11571
1544523940.0,2,0,11571
1544524002.0,1,463,11506
1544524047.0,4,811,11571
1544524392.0,-1,-1,10096
1544524692.0,-1,-1,10884
1544524992.0,-1,-1,11065
1544525125.0,1,811,11377
1544525171.0,2,1284,11637
1544525331.0,1,2493,11251
1544525604.0,2,6200,10203
1544525950.0,-1,-1,10096
1544526250.0,-1,-1,10096
1544526550.0,-1,-1,10096
1544526850.0,-1,-1,9585
1544527150.0,-1,-1,9887
1544527432.0,4,20085,9784
1544527778.0,-1,-1,10423
1544528078.0,-1,-1,10944
1544528328.0,1,20087,11188
1544528375.0,2,20555,11377
1544528534.0,1,21760,11004
1544528798.0,2,25355,10312
1544529144.0,-1,-1,9887
1544529444.0,-1,-1,9887
1544529744.0,-1,-1,10043
1544530044.0,-1,-1,9938
1544530344.0,-1,-1,9784
1544530500.0,4,38288,9835
1544530847.0,-1,-1,10592
1544531146.0,-1,-1,10884
1544531433.0,1,38289,11126
1544531479.0,2,38756,11314
1544531638.0,1,39958,11004
1544531845.0,2,42766,10149
1544532190.0,-1,-1,9835
1544532313.0,4,46326,9734
1544532660.0,-1,-1,10535
1544532960.0,-1,-1,10825
1544533260.0,-1,-1,11065
1544533335.0,1,46327,11251
1544533381.0,2,46794,11126
1544533539.0,1,47995,11126
1544533788.0,2,51376,10257
1544534134.0,-1,-1,10043
1544534434.0,-1,-1,9887
1544534734.0,-1,-1,9835
1544534780.0,4,58785,9734
1544535127.0,-1,-1,10592
1544535427.0,-1,-1,11004
1544535693.0,1,58786,11441
1544535739.0,2,59253,11314
1544535897.0,1,60454,11314
1544536146.0,2,63830,10257
1544536491.0,-1,-1,9938
1544536791.0,-1,-1,9734
1544537091.0,-1,-1,9784
1544537391.0,-1,-1,9784
1544537646.0,4,75229,9835
1544537993.0,-1,-1,10479
1544538293.0,-1,-1,11004
1544538563.0,1,75233,11188
1544538610.0,2,75700,11377
1544538769.0,1,76906,11314
1544539040.0,2,80595,10203
1544539387.0,-1,-1,9990
1544539686.0,-1,-1,9835
1544539986.0,-1,-1,10043
1544540286.0,-1,-1,9887
1544540586.0,-1,-1,9835
1544540885.0,-1,-1,9835
1544541185.0,-1,-1,9990
1544541485.0,-1,-1,9990
1544541531.0,4,99521,9784
1544541878.0,-1,-1,10535
1544542178.0,-1,-1,11126
1544542400.0,1,99521,11251
1544542447.0,2,99988,11188
1544542606.0,1,101193,11251
1544542875.0,2,104848,10312
1544543221.0,-1,-1,10043
1544543521.0,-1,-1,10043
1544543821.0,-1,-1,10149
1544544120.0,-1,-1,9784
1544544420.0,-1,-1,10043
1544544720.0,-1,-1,9887
1544544858.0,4,119920,10043
1544545205.0,-1,-1,10707
1544545505.0,-1,-1,11004
1544545805.0,-1,-1,11314
1544546105.0,-1,-1,11637
1544546404.0,-1,-1,11838
1544546704.0,-1,-1,11975
1544546896.0,1,119922,11906
1544546942.0,2,120412,12045
1544547105.0,1,121645,11838
1544547280.0,2,124020,11065
1544547610.0,4,126526,10479
1544547957.0,-1,-1,11251
1544548257.0,-1,-1,11770
1544548557.0,-1,-1,11906
1544548857.0,-1,-1,11975
1544548904.0,2,126866,12045
1544549083.0,1,128224,12045
1544549271.0,2,130778,10944
1544549617.0,-1,-1,10592
1544549684.0,4,133909,10535
1544550031.0,-1,-1,11188
1544550331.0,-1,-1,11906
1544550630.0,-1,-1,11975
1544550875.0,1,133913,11975
1544550921.0,2,134385,11975
1544551081.0,1,135594,12185
1544551283.0,2,138337,10884
1544551347.0,1,138824,10884
1544551615.0,2,142464,10479
1544551961.0,-1,-1,10367
1544552261.0,-1,-1,10257
1544552561.0,-1,-1,10149
1544552860.0,-1,-1,10096
1544553160.0,-1,-1,10203
1544553460.0,-1,-1,10096
1544553760.0,-1,-1,10149
1544554059.0,-1,-1,10203
1544554359.0,-1,-1,10096
1544554659.0,-1,-1,10203
1544554959.0,-1,-1,9990
1544555258.0,-1,-1,9990
1544555558.0,-1,-1,9938
1544555858.0,-1,-1,10096
1544556157.0,-1,-1,9684
1544556305.0,4,178117,9938
1544556652.0,-1,-1,10707
1544556952.0,-1,-1,10825
1544557252.0,-1,-1,11126
1544557299.0,2,178526,11377
1544557465.0,1,179788,11314
1544557728.0,2,183360,10257
1544558074.0,-1,-1,9938
1544558374.0,-1,-1,9784
1544558674.0,-1,-1,10096
1544558974.0,-1,-1,9938
1544559274.0,-1,-1,9784
1544559320.0,4,195292,9887
1544559667.0,-1,-1,10592
1544559967.0,-1,-1,11126
1544560259.0,1,195292,11377
1544560306.0,2,195760,11314
1544560464.0,1,196961,11314
1544560728.0,2,200540,10312
1544561074.0,-1,-1,10043
1544561374.0,-1,-1,9990
1544561674.0,-1,-1,9784
1544561974.0,-1,-1,9990
1544562274.0,-1,-1,9684
1544562574.0,-1,-1,9887
1544562873.0,-1,-1,9684
1544563173.0,-1,-1,9887
1544563473.0,-1,-1,9835
1544563519.0,4,221718,10043
1544563866.0,-1,-1,10535
1544564165.0,-1,-1,11126
1544564431.0,1,221718,11251
1544564477.0,2,222186,11314
1544564636.0,1,223388,11314
1544564910.0,2,227120,10257
1544565257.0,-1,-1,9990
1544565557.0,-1,-1,10096
1544565857.0,-1,-1,9887
1544566157.0,-1,-1,9990
1544566457.0,-1,-1,9887
1544566757.0,-1,-1,9938
1544567056.0,-1,-1,9887
1544567356.0,-1,-1,9835
1544567656.0,-1,-1,9938
1544567956.0,-1,-1,9835
1544568255.0,-1,-1,9784
1544568555.0,-1,-1,9734
1544568855.0,-1,-1,9585
1544568901.0,4,257157,9784
1544569248.0,-1,-1,10650
1544569547.0,-1,-1,11004
1544569825.0,1,257157,11188
1544569871.0,2,257624,11126
1544570030.0,1,258830,11251
1544570298.0,2,262471,10203
1544570644.0,-1,-1,9887
1544570944.0,-1,-1,10043
1544571244.0,-1,-1,10043
1544571544.0,-1,-1,9938
1544571843.0,-1,-1,9835
1544572143.0,-1,-1,10096
1544572443.0,-1,-1,9938
1544572743.0,-1,-1,9990
1544573043.0,-1,-1,9938
1544573342.0,-1,-1,9734
1544573642.0,-1,-1,9684
1544573758.0,4,288765,9784
1544574105.0,-1,-1,10592
1544574404.0,-1,-1,10944
1544574696.0,1,288768,11188
1544574742.0,2,289236,11251
1544574901.0,1,290437,11188
1544575176.0,2,294184,10312
1544575523.0,-1,-1,9887
1544575822.0,-1,-1,10096
1544576122.0,-1,-1,9887
1544576422.0,-1,-1,9887
1544576722.0,-1,-1,9938
1544577022.0,-1,-1,9990
1544577321.0,-1,-1,9938
1544577621.0,-1,-1,9938
1544577921.0,-1,-1,9990
1544578220.0,-1,-1,9784
1544578520.0,-1,-1,9784
1544578613.0,4,320301,9734
1544578959.0,-1,-1,10766
1544579259.0,-1,-1,11065
1544579524.0,1,320305,11065
1544579571.0,2,320773,11377
1544579730.0,1,321978,11251
1544580007.0,2,325750,10367
1544580353.0,-1,-1,10096
1544580653.0,-1,-1,10043
1544580953.0,-1,-1,9990
1544581253.0,-1,-1,10096
1544581552.0,-1,-1,9990
1544581852.0,-1,-1,9784
1544582152.0,-1,-1,9938
1544582452.0,-1,-1,10043
1544582751.0,-1,-1,10096
1544583051.0,-1,-1,9734
1544583351.0,-1,-1,9887
1544583650.0,-1,-1,9734
1544583877.0,4,355164,9784
1544584224.0,-1,-1,10479
1544584524.0,-1,-1,11126
1544584791.0,1,355168,11188
1544584835.0,2,355623,11065
1544584996.0,1,356840,11377
1544585264.0,2,360487,10257
1544585610.0,-1,-1,9938
1544585910.0,-1,-1,9938
1544586209.0,-1,-1,10043
1544586509.0,-1,-1,9784
1544586809.0,-1,-1,9990
1544587109.0,-1,-1,9887
1544587409.0,-1,-1,9990
1544587708.0,-1,-1,9887
1544588008.0,-1,-1,9887
1544588308.0,-1,-1,9784
1544588404.0,4,384352,9835
1544588751.0,-1,-1,10423
1544589051.0,-1,-1,11126
1544589313.0,1,384353,11251
1544589359.0,2,384820,11065
1544589518.0,1,386022,11251
1544589787.0,2,389679,10257
1544590133.0,-1,-1,10043
1544590432.0,-1,-1,10043
1544590732.0,-1,-1,9938
1544591032.0,-1,-1,9990
1544591332.0,-1,-1,9887
1544591632.0,-1,-1,9835
1544591931.0,-1,-1,9938
1544592231.0,-1,-1,9887
1544592531.0,-1,-1,9938
1544592831.0,-1,-1,9887
