Stove Type,Laser 56/560,Latitude,64.86302,Longitude,-147.888,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1544287064.0,2,0,13923
1544287136.0,1,432,13923
1544287198.0,4,520,13923
1544287545.0,-1,-1,11126
1544287845.0,-1,-1,12115
1544288144.0,-1,-1,12257
1544288444.0,-1,-1,12624
1544288642.0,1,520,12930
1544288688.0,2,964,12699
1544289034.0,-1,-1,11770
1544289334.0,-1,-1,11506
1544289633.0,-1,-1,11188
1544289724.0,4,7236,11188
1544290070.0,-1,-1,11704
1544290371.0,-1,-1,12115
1544290670.0,-1,-1,12624
1544290970.0,-1,-1,12549
1544291086.0,1,7238,12549
1544291148.0,2,7779,12699
1544291509.0,-1,-1,11975
1544291809.0,-1,-1,11506
1544292109.0,-1,-1,11251
1544292188.0,4,14077,11065
1544292550.0,-1,-1,11704
1544292849.0,-1,-1,12115
1544293150.0,-1,-1,12401
1544293449.0,-1,-1,12549
1544293527.0,1,14081,12624
1544293589.0,2,14618,12475
1544293950.0,-1,-1,11975
1544294250.0,-1,-1,11571
1544294550.0,-1,-1,11251
1544294624.0,4,20885,11126
1544294970.0,-1,-1,11637
1544295269.0,-1,-1,12257
1544295569.0,-1,-1,12401
1544295868.0,-1,-1,12624
1544295931.0,1,20981,12401
1544295993.0,2,21474,12549
1544296354.0,-1,-1,11770
1544296654.0,-1,-1,11441
1544296954.0,-1,-1,11377
1544297102.0,4,28191,11251
1544297465.0,-1,-1,11637
1544297764.0,-1,-1,12185
1544298063.0,-1,-1,12475
1544298362.0,-1,-1,12475
1544298517.0,1,28192,12775
1544298563.0,2,28637,12549
1544298925.0,-1,-1,11838
1544299533.0,-1,-1,11377
1544299622.0,4,35050,11251
1544299984.0,-1,-1,11906
1544300283.0,-1,-1,12185
1544300583.0,-1,-1,12329
1544300882.0,-1,-1,12624
1544300977.0,1,35052,12930
1544301039.0,2,35600,12624
1544301384.0,-1,-1,11975
1544301684.0,-1,-1,11704
1544301984.0,-1,-1,11704
1544302283.0,-1,-1,11314
1544302345.0,4,43150,11188
1544302708.0,-1,-1,11770
1544303007.0,-1,-1,12257
1544303307.0,-1,-1,12549
1544303565.0,1,43152,12852
1544303627.0,2,43683,12775
1544303988.0,-1,-1,11770
1544304288.0,-1,-1,11704
1544304563.0,4,49356,11126
1544304910.0,-1,-1,11571
1544305210.0,-1,-1,12185
1544305509.0,-1,-1,12401
1544305809.0,-1,-1,12475
1544306109.0,-1,-1,12699
1544306161.0,1,49360,12549
1544306223.0,2,49910,12775
1544306584.0,-1,-1,11770
1544306883.0,-1,-1,11506
1544307183.0,-1,-1,11377
1544307245.0,4,55808,10650
1544307591.0,-1,-1,11770
1544307891.0,-1,-1,12045
1544308191.0,-1,-1,12549
1544308490.0,-1,-1,12475
1544308790.0,-1,-1,12699
1544309090.0,-1,-1,13008
1544309390.0,-1,-1,12930
1544309689.0,-1,-1,13008
1544309989.0,-1,-1,13248
1544310289.0,-1,-1,13167
1544310458.0,1,55808,13008
1544310520.0,2,56374,13248
1544310866.0,-1,-1,12329
1544311166.0,-1,-1,11838
1544311466.0,-1,-1,11770
1544311613.0,4,62994,11571
1544311975.0,-1,-1,11975
1544312275.0,-1,-1,12257
1544312574.0,-1,-1,12852
1544312874.0,-1,-1,13008
1544313173.0,-1,-1,13248
1544313473.0,-1,-1,13248
1544313538.0,1,62995,13248
1544313600.0,2,63552,13008
1544313962.0,-1,-1,12257
1544314262.0,-1,-1,12045
1544314561.0,-1,-1,11838
1544314745.0,4,70487,11704
1544315108.0,-1,-1,11975
1544315407.0,-1,-1,12624
1544315706.0,-1,-1,12624
1544316006.0,-1,-1,13087
1544316306.0,-1,-1,13248
1544316369.0,1,70664,13248
1544316430.0,2,71139,13087
1544316792.0,-1,-1,12257
1544317092.0,-1,-1,11906
1544317391.0,-1,-1,11770
1544317532.0,4,77811,11704
1544317895.0,-1,-1,11975
1544318194.0,-1,-1,12475
1544318493.0,-1,-1,12775
1544318793.0,-1,-1,12930
1544319092.0,-1,-1,13495
1544319139.0,2,78238,13330
1544319500.0,-1,-1,12329
1544319800.0,-1,-1,12185
1544320100.0,-1,-1,11906
1544320375.0,4,85726,11770
1544320738.0,-1,-1,12185
1544321037.0,-1,-1,12549
1544321336.0,-1,-1,12852
1544321636.0,-1,-1,13008
1544321935.0,-1,-1,13167
1544322074.0,1,85729,12775
1544322120.0,2,86179,13412
1544322482.0,-1,-1,12475
1544322781.0,-1,-1,12185
1544323081.0,-1,-1,11838
1544323381.0,-1,-1,11770
1544323427.0,4,93991,11377
1544323774.0,-1,-1,11906
1544324074.0,-1,-1,12549
1544324373.0,-1,-1,12775
1544324674.0,-1,-1,12775
1544324973.0,-1,-1,13167
1544325036.0,2,94531,13008
1544325398.0,-1,-1,12329
1544325698.0,-1,-1,12115
1544325998.0,-1,-1,11838
1544326225.0,4,101734,11704
1544326588.0,-1,-1,12115
1544326887.0,-1,-1,12475
1544327187.0,-1,-1,12699
1544327487.0,-1,-1,13008
1544327709.0,1,101738,13087
1544327771.0,2,102289,13087
1544328133.0,-1,-1,12401
1544328433.0,-1,-1,12185
1544328733.0,-1,-1,11906
1544329032.0,-1,-1,11838
1544329090.0,4,110273,11770
1544329437.0,-1,-1,12045
1544329736.0,-1,-1,12624
1544330036.0,-1,-1,12930
1544330335.0,-1,-1,13008
1544330605.0,1,110277,13167
1544330666.0,2,110823,13167
1544331028.0,-1,-1,12329
1544331328.0,-1,-1,12045
1544331628.0,-1,-1,11838
1544331928.0,-1,-1,11704
1544332039.0,4,119130,11637
1544332401.0,-1,-1,11906
1544332701.0,-1,-1,12475
1544333000.0,-1,-1,12775
1544333300.0,-1,-1,12775
1544333600.0,-1,-1,13167
1544333653.0,1,119133,12930
1544333699.0,2,119586,13167
1544334061.0,-1,-1,12329
1544334360.0,-1,-1,12115
1544334660.0,-1,-1,11770
1544334960.0,-1,-1,11637
1544335022.0,4,127335,11251
1544335369.0,-1,-1,11906
1544335669.0,-1,-1,12475
1544335969.0,-1,-1,12852
1544336268.0,-1,-1,13087
1544336567.0,-1,-1,13087
1544336630.0,1,127616,13087
1544336676.0,2,127949,12624
1544337038.0,-1,-1,12329
1544337337.0,-1,-1,12115
1544337637.0,-1,-1,11704
1544337937.0,-1,-1,12115
1544338088.0,4,136495,11838
1544338434.0,-1,-1,12185
1544338734.0,-1,-1,12775
1544339033.0,-1,-1,12852
1544339332.0,-1,-1,13167
1544339587.0,1,136501,13087
1544339633.0,2,136950,13087
1544339994.0,-1,-1,12257
1544340294.0,-1,-1,12185
1544340594.0,-1,-1,11637
1544340809.0,4,144075,11770
1544341172.0,-1,-1,12115
1544341471.0,-1,-1,12699
1544341771.0,-1,-1,12852
1544342070.0,-1,-1,13008
1544342369.0,-1,-1,13167
1544342547.0,1,144078,13087
1544342593.0,2,144538,13087
1544342955.0,-1,-1,12257
1544343255.0,-1,-1,11770
1544343555.0,-1,-1,11704
1544343609.0,4,150688,11506
1544343971.0,-1,-1,12115
1544344271.0,-1,-1,12624
1544344571.0,-1,-1,13008
1544344870.0,-1,-1,13008
1544345170.0,-1,-1,13248
1544345245.0,1,150690,13495
1544345307.0,2,151241,13248
1544345525.0,4,152561,12329
1544345871.0,-1,-1,12624
1544346171.0,-1,-1,13248
1544346471.0,-1,-1,13087
1544346771.0,-1,-1,13495
1544347071.0,-1,-1,13923
1544347371.0,-1,-1,13750
1544347671.0,-1,-1,13664
1544347971.0,-1,-1,13836
1544348270.0,-1,-1,14101
1544348570.0,-1,-1,13923
1544348870.0,-1,-1,14191
1544349169.0,-1,-1,14191
1544349470.0,-1,-1,14752
1544349770.0,-1,-1,14191
1544350069.0,-1,-1,14191
1544350369.0,-1,-1,14656
1544350669.0,-1,-1,14561
1544350969.0,-1,-1,14752
1544351269.0,-1,-1,14948
1544351494.0,1,152565,14752
1544351541.0,2,153021,14752
1544351903.0,-1,-1,13836
1544352204.0,-1,-1,12775
1544352407.0,4,158276,12775
1544352754.0,-1,-1,13579
1544353054.0,-1,-1,14191
1544353353.0,-1,-1,13923
1544353653.0,-1,-1,14282
1544353953.0,-1,-1,14850
1544354253.0,-1,-1,14282
1544354553.0,-1,-1,14752
1544354854.0,-1,-1,14752
1544355014.0,1,158279,14850
1544355076.0,2,158813,14561
1544355438.0,-1,-1,13579
