Stove Type,Laser 73/730,Latitude,64.89301,Longitude,-147.831,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1549039633.0,4,37270,6290
1549039721.0,4,30272,10423
1549040171.0,2,30297,10650
1549040238.0,4,30870,10096
1549040476.0,4,30870,10257
1549040835.0,-1,-1,10479
1549040892.0,2,31556,10650
1549041057.0,1,32985,10479
1549041287.0,2,36455,9536
1549041645.0,-1,-1,10149
1549041945.0,-1,-1,10257
1549042245.0,-1,-1,10257
1549042545.0,-1,-1,10257
1549042846.0,-1,-1,10535
1549043146.0,-1,-1,10535
1549043446.0,-1,-1,10479
1549043746.0,-1,-1,10312
1549044047.0,-1,-1,10592
1549044346.0,-1,-1,10707
1549044646.0,-1,-1,10592
1549044947.0,-1,-1,10650
1549045247.0,-1,-1,10479
1549045547.0,-1,-1,10535
1549045847.0,-1,-1,10479
1549046147.0,-1,-1,10367
1549046447.0,-1,-1,10535
1549046747.0,-1,-1,10650
1549047047.0,-1,-1,10479
1549047347.0,-1,-1,10707
1549047647.0,-1,-1,10707
1549047947.0,-1,-1,10535
1549048247.0,-1,-1,10479
1549048547.0,-1,-1,10592
1549048847.0,-1,-1,10479
1549049147.0,-1,-1,10479
1549049242.0,1,105099,10312
1549049559.0,2,109876,10096
1549049916.0,-1,-1,10479
1549050216.0,-1,-1,10592
1549050516.0,-1,-1,10766
1549050817.0,-1,-1,10592
1549051117.0,-1,-1,10312
1549051417.0,-1,-1,10423
1549051717.0,-1,-1,10650
1549052017.0,-1,-1,10367
1549052317.0,-1,-1,10257
1549052617.0,-1,-1,10423
1549052917.0,-1,-1,10592
1549053217.0,-1,-1,10650
1549053517.0,-1,-1,10479
1549053817.0,-1,-1,10423
1549054117.0,-1,-1,10592
1549054418.0,-1,-1,10766
1549054718.0,-1,-1,10707
1549055018.0,-1,-1,10535
1549055318.0,-1,-1,10423
1549055618.0,-1,-1,10650
1549055918.0,-1,-1,10367
1549056218.0,-1,-1,10479
1549056518.0,-1,-1,10479
1549056818.0,-1,-1,10592
1549057118.0,-1,-1,10479
1549057418.0,-1,-1,10367
1549057718.0,-1,-1,10479
1549058018.0,-1,-1,10479
1549058318.0,-1,-1,10479
1549058619.0,-1,-1,10592
1549058919.0,-1,-1,10650
1549059219.0,-1,-1,10312
1549059519.0,-1,-1,10479
