Stove type: Laser 56/560,,Latitude of the PUMA device location,[64.86302],Longitude of the PUMA device location,[-147.888],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1544287064.0,2,0,0,0.0,0.0,63.69,20.46,43.23
1544287198.0,4,520,88,0.00025581599999999996,0.014853832258064513,63.69,20.48,43.21
1544287545.0,-1,-1,0,0.0,0.0,72.65,20.53,52.12
1544287845.0,-1,-1,0,0.0,0.0,69.21,20.58,48.63
1544288144.0,-1,-1,0,0.0,0.0,68.75,20.62,48.13
1544288444.0,-1,-1,0,0.0,0.0,67.57,20.66,46.91
1544288642.0,1,520,0,0.0,0.0,66.61,20.65,45.96
1544288688.0,2,964,0,0.0,0.0,67.33,20.65,46.68
1544289034.0,-1,-1,444,0.001290708,0.013429331791907514,70.37,20.63,49.74
1544289334.0,-1,-1,0,0.0,0.0,71.29,20.61,50.68
1544289633.0,-1,-1,0,0.0,0.0,72.42,20.6,51.82
1544289724.0,4,7236,0,0.0,0.0,72.42,20.59,51.83
1544290070.0,-1,-1,0,0.0,0.0,70.6,20.58,50.02
1544290371.0,-1,-1,6272,0.018232704,0.21806556279069766,69.21,20.56,48.65
1544290670.0,-1,-1,0,0.0,0.0,67.57,20.55,47.02
1544290970.0,-1,-1,0,0.0,0.0,67.8,20.53,47.27
1544291086.0,1,7238,0,0.0,0.0,67.8,20.53,47.27
1544291148.0,2,7779,0,0.0,0.0,67.33,20.52,46.81
1544291509.0,-1,-1,0,0.0,0.0,69.68,20.5,49.18
1544291809.0,-1,-1,2,5.814e-06,6.9768e-05,71.29,20.49,50.8
1544292109.0,-1,-1,0,0.0,0.0,72.19,20.49,51.7
1544292188.0,4,14077,541,0.001572687,0.0716667493670886,72.87,20.5,52.37
1544292550.0,-1,-1,0,0.0,0.0,70.6,20.54,50.06
1544292849.0,-1,-1,0,0.0,0.0,69.21,20.56,48.65
1544293150.0,-1,-1,0,0.0,0.0,68.28,20.59,47.69
1544293449.0,-1,-1,0,0.0,0.0,67.8,20.62,47.18
1544293527.0,1,14081,6298,0.018308286,0.8449978153846154,67.57,20.63,46.94
1544293589.0,2,14618,0,0.0,0.0,68.04,20.64,47.4
1544293950.0,-1,-1,0,0.0,0.0,69.68,20.68,49.0
1544294250.0,-1,-1,0,0.0,0.0,71.06,20.7,50.36
1544294550.0,-1,-1,0,0.0,0.0,72.19,20.73,51.46
1544294624.0,4,20885,0,0.0,0.0,72.65,20.74,51.91
1544294970.0,-1,-1,4,1.1628e-05,0.0001209849710982659,70.83,20.78,50.05
1544295269.0,-1,-1,0,0.0,0.0,68.75,20.81,47.94
1544295569.0,-1,-1,537,0.0015610589999999998,0.018732708,68.28,20.84,47.44
1544295868.0,-1,-1,0,0.0,0.0,67.57,20.85,46.72
1544295931.0,1,20981,0,0.0,0.0,68.28,20.86,47.42
1544295993.0,2,21474,0,0.0,0.0,67.8,20.86,46.94
1544296354.0,-1,-1,0,0.0,0.0,70.37,20.88,49.49
1544296654.0,-1,-1,6267,0.018218169,0.218618028,71.52,20.89,50.63
1544296954.0,-1,-1,0,0.0,0.0,71.74,20.91,50.83
1544297102.0,4,28191,0,0.0,0.0,72.19,20.92,51.27
1544297465.0,-1,-1,0,0.0,0.0,70.83,20.93,49.9
1544297764.0,-1,-1,0,0.0,0.0,68.98,20.95,48.03
1544298063.0,-1,-1,0,0.0,0.0,68.04,20.96,47.08
1544298362.0,-1,-1,96,0.000279072,0.0033600642140468226,68.04,20.98,47.06
1544298517.0,1,28192,0,0.0,0.0,67.09,20.99,46.1
1544298563.0,2,28637,493,0.001433151,0.11215964347826086,67.8,20.99,46.81
1544298925.0,-1,-1,0,0.0,0.0,70.14,21.01,49.13
1544299533.0,-1,-1,0,0.0,0.0,71.74,21.04,50.7
1544299622.0,4,35050,0,0.0,0.0,72.19,21.04,51.15
1544299984.0,-1,-1,0,0.0,0.0,69.91,21.06,48.85
1544300283.0,-1,-1,6717,0.019526319,0.23509949297658864,68.98,21.07,47.91
1544300583.0,-1,-1,0,0.0,0.0,68.51,21.09,47.42
1544300882.0,-1,-1,0,0.0,0.0,67.57,21.1,46.47
1544300977.0,1,35052,0,0.0,0.0,66.61,21.11,45.5
1544301039.0,2,35600,0,0.0,0.0,67.57,21.11,46.46
1544301384.0,-1,-1,0,0.0,0.0,69.68,21.13,48.55
1544301684.0,-1,-1,1,2.907e-06,3.4884e-05,70.6,21.14,49.46
1544301984.0,-1,-1,0,0.0,0.0,70.6,21.16,49.44
1544302283.0,-1,-1,445,0.001293615,0.015575297658862876,71.97,21.17,50.8
1544302345.0,4,43150,0,0.0,0.0,72.42,21.18,51.24
1544302708.0,-1,-1,0,0.0,0.0,70.37,21.2,49.17
1544303007.0,-1,-1,0,0.0,0.0,68.75,21.18,47.57
1544303307.0,-1,-1,6413,0.018642591,0.223711092,67.8,21.15,46.65
1544303565.0,1,43152,0,0.0,0.0,66.85,21.12,45.73
1544303627.0,2,43683,0,0.0,0.0,67.09,21.12,45.97
1544303988.0,-1,-1,0,0.0,0.0,70.37,21.08,49.29
1544304288.0,-1,-1,0,0.0,0.0,70.6,21.05,49.55
1544304563.0,4,49356,0,0.0,0.0,72.65,21.02,51.63
1544304910.0,-1,-1,2,5.814e-06,6.0318155619596535e-05,71.06,20.99,50.07
1544305210.0,-1,-1,0,0.0,0.0,68.98,20.96,48.02
1544305509.0,-1,-1,548,0.001593036,0.019180366555183945,68.28,20.93,47.35
1544305809.0,-1,-1,0,0.0,0.0,68.04,20.9,47.14
1544306109.0,-1,-1,0,0.0,0.0,67.33,20.87,46.46
1544306161.0,1,49360,0,0.0,0.0,67.8,20.86,46.94
1544306223.0,2,49910,0,0.0,0.0,67.09,20.86,46.23
1544306584.0,-1,-1,0,0.0,0.0,70.37,20.74,49.63
1544306883.0,-1,-1,7550,0.021947849999999998,0.26425505016722406,71.29,20.57,50.72
1544307183.0,-1,-1,0,0.0,0.0,71.74,20.41,51.33
1544307245.0,4,55808,0,0.0,0.0,74.42,20.38,54.04
1544307591.0,-1,-1,0,0.0,0.0,70.37,20.18,50.19
1544307891.0,-1,-1,0,0.0,0.0,69.45,20.02,49.43
1544308191.0,-1,-1,2,5.814e-06,6.9768e-05,67.8,19.85,47.95
1544308490.0,-1,-1,0,0.0,0.0,68.04,19.69,48.35
1544308790.0,-1,-1,531,0.001543617,0.018523404,67.33,19.53,47.8
1544309090.0,-1,-1,0,0.0,0.0,66.37,19.36,47.01
1544309390.0,-1,-1,0,0.0,0.0,66.61,19.2,47.41
1544309689.0,-1,-1,0,0.0,0.0,66.37,19.03,47.34
1544309989.0,-1,-1,5673,0.016491411,0.19789693200000003,65.65,18.87,46.78
1544310289.0,-1,-1,0,0.0,0.0,65.89,18.8,47.09
1544310458.0,1,55808,0,0.0,0.0,66.37,18.77,47.6
1544310520.0,2,56374,0,0.0,0.0,65.65,18.76,46.89
1544310866.0,-1,-1,0,0.0,0.0,68.51,18.69,49.82
1544311166.0,-1,-1,0,0.0,0.0,70.14,18.63,51.51
1544311466.0,-1,-1,0,0.0,0.0,70.37,18.57,51.8
1544311613.0,4,62994,4,1.1628e-05,0.00028476734693877546,71.06,18.54,52.52
1544311975.0,-1,-1,0,0.0,0.0,69.68,18.46,51.22
