Stove type: Laser 730,,Latitude of the PUMA device location,[64.92216],Longitude of the PUMA device location,[-147.931],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543923885.0,1,0,0,0.0,0.0,70.14,10.4,59.74
1543924084.0,4,2039,2039,0.006867352,0.12423350351758794,70.37,10.36,60.01
1543924441.0,-1,-1,0,0.0,0.0,71.06,10.29,60.77
1543924741.0,-1,-1,0,0.0,0.0,70.14,10.23,59.91
1543925041.0,-1,-1,0,0.0,0.0,70.6,10.2,60.4
1543925341.0,-1,-1,0,0.0,0.0,69.68,10.17,59.51
1543925640.0,-1,-1,0,0.0,0.0,70.37,10.14,60.23
1543925940.0,-1,-1,0,0.0,0.0,69.91,10.11,59.8
1543926240.0,-1,-1,0,0.0,0.0,69.68,10.08,59.6
1543926540.0,-1,-1,0,0.0,0.0,68.98,10.05,58.93
1543926840.0,-1,-1,0,0.0,0.0,68.98,10.02,58.96
1543927139.0,-1,-1,0,0.0,0.0,68.75,9.99,58.76
1543927439.0,-1,-1,0,0.0,0.0,68.75,9.96,58.79
1543927739.0,-1,-1,0,0.0,0.0,68.98,9.93,59.05
1543927796.0,1,2153,114,0.000383952,0.024249600000000003,68.98,9.92,59.06
1543928127.0,2,5680,3527,0.011878936000000001,0.12919688700906345,69.68,9.89,59.79
1543928484.0,-1,-1,0,0.0,0.0,70.6,9.85,60.75
1543928784.0,-1,-1,0,0.0,0.0,70.14,9.8,60.34
1543929084.0,-1,-1,0,0.0,0.0,71.06,9.76,61.3
1543929383.0,-1,-1,0,0.0,0.0,71.06,9.71,61.35
1543929683.0,-1,-1,0,0.0,0.0,71.52,9.67,61.85
1543929983.0,-1,-1,0,0.0,0.0,70.83,9.62,61.21
1543930282.0,-1,-1,0,0.0,0.0,71.52,9.58,61.94
1543930582.0,-1,-1,0,0.0,0.0,71.52,9.53,61.99
1543930882.0,-1,-1,0,0.0,0.0,71.52,9.49,62.03
1543931181.0,-1,-1,0,0.0,0.0,71.52,9.44,62.08
1543931481.0,-1,-1,0,0.0,0.0,71.97,9.4,62.57
1543931780.0,-1,-1,0,0.0,0.0,71.74,9.35,62.39
1543931903.0,4,35819,30139,0.101508152,2.970970302439025,72.65,9.33,63.32
1543932260.0,-1,-1,0,0.0,0.0,71.74,9.19,62.55
1543932559.0,-1,-1,0,0.0,0.0,71.06,9.04,62.02
1543932859.0,-1,-1,0,0.0,0.0,70.6,8.89,61.71
1543933159.0,-1,-1,0,0.0,0.0,69.91,8.74,61.17
1543933459.0,-1,-1,0,0.0,0.0,70.14,8.59,61.55
1543933758.0,-1,-1,0,0.0,0.0,70.14,8.44,61.7
1543934058.0,-1,-1,0,0.0,0.0,69.68,8.29,61.39
1543934358.0,-1,-1,0,0.0,0.0,69.45,8.14,61.31
1543934657.0,-1,-1,0,0.0,0.0,69.21,7.99,61.22
1543934957.0,-1,-1,0,0.0,0.0,69.68,7.84,61.84
1543935257.0,-1,-1,0,0.0,0.0,69.21,7.69,61.52
1543935557.0,-1,-1,0,0.0,0.0,68.98,7.54,61.44
1543935857.0,-1,-1,0,0.0,0.0,68.75,7.44,61.31
1543936097.0,1,35822,3,1.0104e-05,0.00015156,68.28,7.37,60.91
1543936428.0,4,39341,3519,0.011851992,0.12890384048338369,69.91,7.27,62.64
1543936485.0,2,39792,451,0.001518968,0.09593482105263158,70.83,7.25,63.58
1543936841.0,-1,-1,0,0.0,0.0,70.37,7.15,63.22
1543937141.0,-1,-1,0,0.0,0.0,70.6,7.06,63.54
1543937441.0,-1,-1,0,0.0,0.0,70.14,6.97,63.17
1543937740.0,-1,-1,0,0.0,0.0,70.83,6.88,63.95
1543938040.0,-1,-1,0,0.0,0.0,70.83,6.79,64.04
1543938340.0,-1,-1,0,0.0,0.0,70.83,6.7,64.13
1543938640.0,-1,-1,0,0.0,0.0,71.29,6.61,64.68
1543938939.0,-1,-1,0,0.0,0.0,71.06,6.52,64.54
1543939239.0,-1,-1,0,0.0,0.0,71.06,6.45,64.61
1543939539.0,-1,-1,0,0.0,0.0,72.19,6.54,65.65
1543939838.0,-1,-1,0,0.0,0.0,71.97,6.63,65.34
1543940116.0,4,68778,28986,0.097624848,1.2642066647482013,70.6,6.71,63.89
1543940473.0,-1,-1,0,0.0,0.0,72.19,6.82,65.37
1543940772.0,-1,-1,0,0.0,0.0,70.6,6.91,63.69
1543941072.0,-1,-1,0,0.0,0.0,70.6,7.0,63.6
1543941372.0,-1,-1,0,0.0,0.0,70.37,7.09,63.28
1543941672.0,-1,-1,0,0.0,0.0,70.14,7.18,62.96
1543941972.0,-1,-1,0,0.0,0.0,70.37,7.27,63.1
1543942272.0,-1,-1,0,0.0,0.0,70.37,7.36,63.01
1543942572.0,-1,-1,0,0.0,0.0,69.91,7.45,62.46
1543942872.0,-1,-1,0,0.0,0.0,69.91,7.53,62.38
1543943172.0,-1,-1,0,0.0,0.0,70.37,7.56,62.81
1543943472.0,-1,-1,0,0.0,0.0,70.14,7.59,62.55
1543943772.0,-1,-1,0,0.0,0.0,69.45,7.62,61.83
1543944071.0,-1,-1,0,0.0,0.0,69.68,7.65,62.03
1543944371.0,-1,-1,0,0.0,0.0,69.21,7.68,61.53
1543944671.0,-1,-1,0,0.0,0.0,69.68,7.71,61.97
1543944971.0,-1,-1,0,0.0,0.0,69.45,7.74,61.71
1543945271.0,-1,-1,0,0.0,0.0,69.68,7.77,61.91
1543945570.0,-1,-1,0,0.0,0.0,69.68,7.8,61.88
1543945870.0,-1,-1,0,0.0,0.0,68.75,7.83,60.92
1543946170.0,-1,-1,0,0.0,0.0,69.91,7.86,62.05
1543946469.0,-1,-1,0,0.0,0.0,68.75,7.85,60.9
1543946649.0,1,68781,3,1.0104e-05,0.00020208,68.75,7.76,60.99
1543946983.0,4,72353,3572,0.012030496,0.12967001676646708,69.91,7.59,62.32
1543947040.0,2,72804,451,0.001518968,0.09593482105263158,70.83,7.56,63.27
1543947395.0,-1,-1,0,0.0,0.0,70.37,7.38,62.99
1543947695.0,-1,-1,0,0.0,0.0,72.19,7.23,64.96
1543947995.0,-1,-1,0,0.0,0.0,71.74,7.08,64.66
1543948294.0,-1,-1,0,0.0,0.0,71.52,6.93,64.59
1543948517.0,4,84597,11793,0.039718824,0.6412007461883409,71.74,6.82,64.92
1543948874.0,-1,-1,0,0.0,0.0,71.52,6.64,64.88
1543949174.0,-1,-1,0,0.0,0.0,71.29,6.49,64.8
1543949473.0,-1,-1,0,0.0,0.0,70.83,6.34,64.49
1543949773.0,-1,-1,0,0.0,0.0,71.06,6.19,64.87
1543950073.0,-1,-1,0,0.0,0.0,71.06,6.1,64.96
1543950373.0,-1,-1,0,0.0,0.0,70.14,6.17,63.97
1543950673.0,-1,-1,0,0.0,0.0,70.83,6.25,64.58
1543950972.0,-1,-1,0,0.0,0.0,70.37,6.32,64.05
1543951273.0,-1,-1,0,0.0,0.0,70.14,6.4,63.74
1543951572.0,-1,-1,0,0.0,0.0,70.6,6.47,64.13
1543951872.0,-1,-1,0,0.0,0.0,70.83,6.55,64.28
1543952172.0,-1,-1,0,0.0,0.0,70.6,6.62,63.98
1543952471.0,-1,-1,0,0.0,0.0,70.83,6.7,64.13
