Stove type: M422,,Latitude of the PUMA device location,[64.83723],Longitude of the PUMA device location,[-148.027],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1549961421.0,4,222752,0,0.0,0.0,71.52,25.34,46.18
1549961752.0,-1,-1,0,0.0,0.0,69.45,25.34,44.11
1549962052.0,-1,-1,0,0.0,0.0,68.28,25.33,42.95
1549962353.0,-1,-1,2,8.71e-06,0.00010417275747508304,68.04,25.3,42.74
1549962653.0,-1,-1,0,0.0,0.0,67.57,25.27,42.3
1549962953.0,-1,-1,2740,0.0119327,0.1431924,67.33,25.24,42.09
1549963017.0,2,222754,0,0.0,0.0,67.33,25.24,42.09
1549963317.0,4,225494,221,0.000962455,0.01154946,70.6,25.21,45.39
1549963347.0,3,225715,0,0.0,0.0,70.6,25.21,45.39
1549963450.0,4,226476,777,0.003383835,0.11826996116504855,71.29,25.2,46.09
1549963781.0,-1,-1,0,0.0,0.0,69.21,25.16,44.05
1549964081.0,-1,-1,0,0.0,0.0,67.57,25.13,42.44
1549964382.0,-1,-1,0,0.0,0.0,67.8,25.1,42.7
1549964682.0,-1,-1,0,0.0,0.0,67.57,25.07,42.5
1549964983.0,-1,-1,0,0.0,0.0,67.57,25.04,42.53
1549965147.0,2,226478,447,0.0019466849999999999,0.04273210975609756,67.57,25.03,42.54
1549965447.0,3,229222,0,0.0,0.0,70.37,25.0,45.37
1549965599.0,4,230339,2777,0.012093834999999999,0.2864329342105263,71.52,24.98,46.54
1549965929.0,-1,-1,0,0.0,0.0,69.91,24.96,44.95
1549966230.0,-1,-1,642,0.00279591,0.03343945514950166,68.51,24.95,43.56
1549966530.0,-1,-1,0,0.0,0.0,67.8,24.93,42.87
1549966831.0,-1,-1,0,0.0,0.0,67.33,24.92,42.41
1549967131.0,-1,-1,0,0.0,0.0,67.33,24.9,42.43
1549967294.0,2,230344,0,0.0,0.0,68.04,24.9,43.14
1549967594.0,4,233084,0,0.0,0.0,70.14,24.88,45.26
1549967624.0,3,233304,0,0.0,0.0,70.83,24.88,45.95
1549967719.0,4,234005,0,0.0,0.0,71.52,24.87,46.65
1549968049.0,-1,-1,2744,0.01195012,0.13036494545454544,69.45,24.86,44.59
1549968350.0,-1,-1,0,0.0,0.0,68.04,24.84,43.2
1549968650.0,-1,-1,925,0.004028375,0.048340499999999995,67.57,24.83,42.74
1549968951.0,-1,-1,0,0.0,0.0,67.09,24.81,42.28
1549969142.0,2,234008,0,0.0,0.0,68.28,24.8,43.48
1549969442.0,4,236748,0,0.0,0.0,69.91,24.8,45.11
1549969472.0,3,236969,0,0.0,0.0,70.83,24.8,46.03
1549969564.0,4,237654,0,0.0,0.0,71.74,24.8,46.94
1549969895.0,-1,-1,0,0.0,0.0,68.98,24.8,44.18
1549970195.0,-1,-1,2,8.71e-06,0.00010452,67.8,24.8,43.0
1549970496.0,-1,-1,0,0.0,0.0,67.57,24.8,42.77
1549970796.0,-1,-1,2740,0.0119327,0.1431924,66.85,24.8,42.05
1549971097.0,-1,-1,0,0.0,0.0,67.09,24.8,42.29
1549971287.0,2,237659,221,0.000962455,0.01823598947368421,67.09,24.8,42.29
1549971587.0,3,240399,0,0.0,0.0,70.14,24.8,45.34
1549971739.0,4,241520,761,0.003314155,0.0784931447368421,71.52,24.8,46.72
1549972069.0,-1,-1,0,0.0,0.0,69.68,24.8,44.88
1549972370.0,-1,-1,0,0.0,0.0,68.28,24.8,43.48
1549972670.0,-1,-1,0,0.0,0.0,68.04,24.8,43.24
1549972996.0,-1,-1,0,0.0,0.0,67.57,24.77,42.8
1549973321.0,-1,-1,0,0.0,0.0,67.33,24.72,42.61
1549973431.0,2,241563,0,0.0,0.0,67.33,24.71,42.62
1549973726.0,4,244263,2,8.71e-06,0.0001062915254237288,70.14,24.66,45.48
1549973798.0,3,244793,0,0.0,0.0,70.6,24.65,45.95
1549973865.0,4,245286,2744,0.01195012,0.642096,71.29,24.64,46.65
1549974211.0,-1,-1,0,0.0,0.0,69.68,24.59,45.09
1549974512.0,-1,-1,1117,0.004864535,0.058180485049833884,68.04,24.54,43.5
1549974812.0,-1,-1,0,0.0,0.0,67.8,24.5,43.3
1549975113.0,-1,-1,0,0.0,0.0,67.33,24.45,42.88
1549975413.0,-1,-1,0,0.0,0.0,67.09,24.41,42.68
1549975713.0,-1,-1,0,0.0,0.0,67.57,24.36,43.21
1549975757.0,2,245289,0,0.0,0.0,67.57,24.36,43.21
1549976057.0,4,248029,0,0.0,0.0,70.37,24.31,46.06
1549976087.0,3,248249,5,2.1775e-05,0.0026130000000000003,70.14,24.31,45.83
1549976198.0,4,249070,0,0.0,0.0,71.97,24.29,47.68
1549976545.0,-1,-1,2740,0.0119327,0.12379746397694524,69.45,24.25,45.2
1549976845.0,-1,-1,0,0.0,0.0,68.04,24.24,43.8
1549977146.0,-1,-1,220,0.0009580999999999999,0.011459003322259135,67.8,24.22,43.58
1549977446.0,-1,-1,0,0.0,0.0,68.04,24.21,43.83
1549977747.0,-1,-1,701,0.0030528549999999997,0.03651255149501661,67.09,24.19,42.9
1549977815.0,2,249070,0,0.0,0.0,67.09,24.19,42.9
1549978115.0,3,251814,0,0.0,0.0,70.6,24.17,46.43
1549978247.0,4,252783,0,0.0,0.0,71.06,24.17,46.89
1549978577.0,-1,-1,0,0.0,0.0,69.68,24.15,45.53
1549978878.0,-1,-1,0,0.0,0.0,68.28,24.14,44.14
1549979178.0,-1,-1,3,1.3065e-05,0.00015678,68.04,24.12,43.92
1549979478.0,-1,-1,0,0.0,0.0,67.8,24.11,43.69
1549979779.0,-1,-1,2740,0.0119327,0.14271667774086377,67.33,24.09,43.24
1549979941.0,2,252784,0,0.0,0.0,67.09,24.08,43.01
1549980241.0,4,255524,221,0.000962455,0.01154946,70.37,24.02,46.35
1549980281.0,3,255818,0,0.0,0.0,70.37,24.01,46.36
1549980406.0,4,256739,685,0.002983175,0.08591543999999998,71.52,23.98,47.54
1549980736.0,-1,-1,0,0.0,0.0,71.52,23.9,47.62
1549981037.0,-1,-1,0,0.0,0.0,68.28,23.82,44.46
1549981337.0,-1,-1,0,0.0,0.0,68.04,23.75,44.29
1549981637.0,-1,-1,0,0.0,0.0,67.8,23.67,44.13
1549981938.0,-1,-1,0,0.0,0.0,66.61,23.6,43.01
1549982107.0,2,256743,0,0.0,0.0,67.33,23.55,43.78
1549982407.0,3,259483,5,2.1775e-05,0.0002613,70.83,23.48,47.35
1549982539.0,4,260456,0,0.0,0.0,71.52,23.45,48.07
1549982869.0,-1,-1,2740,0.0119327,0.1301749090909091,69.68,23.36,46.32
1549983170.0,-1,-1,0,0.0,0.0,68.51,23.29,45.22
1549983470.0,-1,-1,1121,0.0048819549999999995,0.05858346,67.8,23.21,44.59
1549983771.0,-1,-1,0,0.0,0.0,67.8,23.15,44.65
1549984071.0,-1,-1,0,0.0,0.0,67.09,23.09,44.0
