Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.80454],Longitude of the PUMA device location,[-147.449],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1548414980.0,4,0,0,0.0,0.0,91.3,14.43,76.87
1548415320.0,-1,-1,0,0.0,0.0,77.47,14.51,62.96
1548415620.0,-1,-1,0,0.0,0.0,74.42,14.58,59.84
1548415921.0,-1,-1,0,0.0,0.0,72.65,14.66,57.99
1548416221.0,-1,-1,0,0.0,0.0,73.98,14.74,59.24
1548416481.0,1,4,4,1.3472e-05,0.00018653538461538461,71.52,14.8,56.72
1548416520.0,2,547,543,0.0018288240000000002,0.1688145230769231,71.74,14.81,56.93
1548416860.0,-1,-1,0,0.0,0.0,75.52,14.89,60.63
1548417160.0,-1,-1,0,0.0,0.0,75.74,14.97,60.77
1548417460.0,-1,-1,0,0.0,0.0,76.83,15.04,61.79
1548417760.0,-1,-1,0,0.0,0.0,75.52,15.18,60.34
1548418061.0,-1,-1,0,0.0,0.0,77.47,15.38,62.09
1548418361.0,-1,-1,0,0.0,0.0,80.23,15.57,64.66
1548418662.0,-1,-1,0,0.0,0.0,78.33,15.77,62.56
1548418962.0,-1,-1,0,0.0,0.0,77.9,15.97,61.93
1548419256.0,4,22934,22387,0.07539941600000001,0.923258155102041,80.65,16.16,64.49
1548419600.0,-1,-1,0,0.0,0.0,77.47,16.38,61.09
1548419901.0,-1,-1,0,0.0,0.0,73.98,16.58,57.4
1548420201.0,-1,-1,0,0.0,0.0,73.76,16.77,56.99
1548420502.0,-1,-1,0,0.0,0.0,72.42,16.97,55.45
1548420756.0,1,22938,4,1.3472e-05,0.00019094173228346458,71.97,17.13,54.84
1548420797.0,2,23482,544,0.001832192,0.16087539512195123,72.19,17.16,55.03
1548421137.0,-1,-1,0,0.0,0.0,75.74,17.38,58.36
1548421437.0,-1,-1,0,0.0,0.0,74.42,17.55,56.87
1548421737.0,-1,-1,0,0.0,0.0,76.4,17.72,58.68
1548422037.0,-1,-1,0,0.0,0.0,76.61,17.88,58.73
1548422338.0,-1,-1,0,0.0,0.0,79.18,18.05,61.13
1548422445.0,4,36962,13480,0.045400640000000006,1.5274981682242992,79.6,18.1,61.5
1548422786.0,-1,-1,0,0.0,0.0,76.61,18.29,58.32
1548423086.0,-1,-1,0,0.0,0.0,75.3,18.46,56.84
1548423387.0,-1,-1,0,0.0,0.0,73.76,18.62,55.14
1548423687.0,-1,-1,0,0.0,0.0,72.65,18.79,53.86
1548423805.0,1,36964,2,6.736e-06,0.00020550508474576274,70.6,18.85,51.75
1548423845.0,2,37487,523,0.0017614640000000001,0.15853176000000002,72.65,18.87,53.78
1548424185.0,-1,-1,0,0.0,0.0,75.52,19.06,56.46
1548424485.0,-1,-1,0,0.0,0.0,75.3,19.23,56.07
1548424785.0,-1,-1,0,0.0,0.0,76.4,19.39,57.01
1548425085.0,-1,-1,0,0.0,0.0,76.18,19.49,56.69
1548425386.0,-1,-1,0,0.0,0.0,76.83,19.58,57.25
1548425686.0,-1,-1,0,0.0,0.0,76.61,19.67,56.94
1548425986.0,-1,-1,0,0.0,0.0,78.54,19.76,58.78
1548426287.0,-1,-1,0,0.0,0.0,77.26,19.85,57.41
1548426413.0,4,58497,21010,0.07076168000000001,2.021762285714286,79.39,19.88,59.51
1548426754.0,-1,-1,0,0.0,0.0,76.83,19.99,56.84
1548427054.0,-1,-1,0,0.0,0.0,75.08,20.08,55.0
1548427354.0,-1,-1,0,0.0,0.0,73.98,20.17,53.81
1548427655.0,-1,-1,0,0.0,0.0,72.87,20.26,52.61
1548427886.0,1,58502,5,1.684e-05,0.0002624415584415585,71.97,20.33,51.64
1548427925.0,2,59025,523,0.0017614640000000001,0.16259667692307692,71.97,20.34,51.63
1548428265.0,-1,-1,0,0.0,0.0,73.32,20.44,52.88
1548428565.0,-1,-1,0,0.0,0.0,75.08,20.61,54.47
1548428865.0,-1,-1,0,0.0,0.0,75.08,20.85,54.23
1548429166.0,-1,-1,0,0.0,0.0,75.96,21.09,54.87
1548429466.0,-1,-1,0,0.0,0.0,77.69,21.33,56.36
1548429766.0,-1,-1,0,0.0,0.0,77.69,21.57,56.12
1548430067.0,-1,-1,0,0.0,0.0,77.47,21.81,55.66
1548430367.0,-1,-1,0,0.0,0.0,77.69,22.05,55.64
1548430667.0,-1,-1,0,0.0,0.0,77.69,22.29,55.4
1548430967.0,-1,-1,0,0.0,0.0,77.26,22.53,54.73
1548431268.0,-1,-1,0,0.0,0.0,78.33,22.77,55.56
1548431568.0,-1,-1,0,0.0,0.0,77.9,23.01,54.89
1548431868.0,-1,-1,0,0.0,0.0,78.11,23.25,54.86
1548432168.0,-1,-1,0,0.0,0.0,77.04,23.42,53.62
1548432468.0,-1,-1,0,0.0,0.0,78.11,23.52,54.59
1548432769.0,-1,-1,0,0.0,0.0,79.18,23.63,55.55
1548432934.0,4,100034,41009,0.13811831200000002,3.013490443636364,79.18,23.69,55.49
1548433275.0,-1,-1,0,0.0,0.0,77.26,23.81,53.45
1548433575.0,-1,-1,0,0.0,0.0,74.65,23.91,50.74
1548433876.0,-1,-1,0,0.0,0.0,73.32,24.02,49.3
1548434176.0,-1,-1,0,0.0,0.0,73.09,24.12,48.97
1548434476.0,-1,-1,0,0.0,0.0,73.32,24.23,49.09
1548434657.0,1,100041,7,2.3576000000000003e-05,0.0004689149171270719,71.97,24.29,47.68
1548434696.0,2,100570,529,0.0017816720000000002,0.1644620307692308,71.52,24.3,47.22
1548435036.0,-1,-1,0,0.0,0.0,76.4,24.42,51.98
1548435336.0,-1,-1,0,0.0,0.0,75.3,24.53,50.77
1548435636.0,-1,-1,0,0.0,0.0,76.61,24.64,51.97
1548435936.0,-1,-1,0,0.0,0.0,76.18,24.77,51.41
1548436237.0,-1,-1,0,0.0,0.0,77.9,24.91,52.99
1548436537.0,-1,-1,0,0.0,0.0,77.69,25.04,52.65
1548436837.0,-1,-1,0,0.0,0.0,78.11,25.18,52.93
1548437138.0,-1,-1,0,0.0,0.0,77.69,25.31,52.38
1548437438.0,-1,-1,0,0.0,0.0,78.54,25.45,53.09
1548437511.0,4,123605,23035,0.07758188,3.8259557260273978,78.75,25.48,53.27
1548437852.0,-1,-1,0,0.0,0.0,77.9,25.63,52.27
1548438152.0,-1,-1,0,0.0,0.0,75.52,25.77,49.75
1548438452.0,-1,-1,0,0.0,0.0,74.87,25.9,48.97
1548438666.0,4,123605,0,0.0,0.0,73.54,26.0,47.54
1548439007.0,-1,-1,0,0.0,0.0,71.97,26.15,45.82
1548439244.0,1,123605,0,0.0,0.0,71.74,26.25,45.49
1548439284.0,2,124135,530,0.00178504,0.1606536,72.65,26.26,46.39
1548439623.0,-1,-1,0,0.0,0.0,76.61,26.35,50.26
1548439923.0,-1,-1,0,0.0,0.0,75.96,26.42,49.54
1548440223.0,-1,-1,0,0.0,0.0,75.3,26.5,48.8
1548440524.0,-1,-1,0,0.0,0.0,77.26,26.57,50.69
1548440824.0,-1,-1,0,0.0,0.0,76.83,26.65,50.18
1548441124.0,-1,-1,0,0.0,0.0,78.11,26.72,51.39
1548441425.0,-1,-1,0,0.0,0.0,77.9,26.8,51.1
1548441534.0,4,142540,18405,0.06198804,2.047311412844037,80.85,26.82,54.03
