Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.96401],Longitude of the PUMA device location,[-147.755],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543583934.0,1,0,0,0.0,0.0,87.76,19.1,68.66
1543584348.0,-1,-1,0,0.0,0.0,80.44,19.12,61.32
1543584648.0,-1,-1,0,0.0,0.0,78.96,19.13,59.83
1543584948.0,-1,-1,0,0.0,0.0,77.69,19.15,58.54
1543585248.0,-1,-1,0,0.0,0.0,77.26,19.16,58.1
1543585547.0,-1,-1,0,0.0,0.0,77.47,19.18,58.29
1543585847.0,-1,-1,0,0.0,0.0,76.4,19.19,57.21
1543586100.0,1,156,1,3.368e-06,4.792411067193676e-05,76.61,19.2,57.41
1543586457.0,-1,-1,0,0.0,0.0,79.39,19.23,60.16
1543586756.0,-1,-1,0,0.0,0.0,79.18,19.29,59.89
1543587056.0,-1,-1,0,0.0,0.0,79.81,19.35,60.46
1543587356.0,-1,-1,0,0.0,0.0,79.81,19.41,60.4
1543587655.0,-1,-1,0,0.0,0.0,79.81,19.47,60.34
1543587955.0,-1,-1,0,0.0,0.0,80.65,19.53,61.12
1543588254.0,-1,-1,0,0.0,0.0,80.23,19.59,60.64
1543588554.0,-1,-1,0,0.0,0.0,80.44,19.65,60.79
1543588853.0,-1,-1,0,0.0,0.0,79.81,19.71,60.1
1543589153.0,-1,-1,0,0.0,0.0,80.65,19.77,60.88
1543589453.0,-1,-1,0,0.0,0.0,80.65,19.83,60.82
1543589752.0,-1,-1,0,0.0,0.0,80.02,19.89,60.13
1543590052.0,-1,-1,0,0.0,0.0,80.85,19.94,60.91
1543590351.0,-1,-1,0,0.0,0.0,80.65,19.96,60.69
1543590651.0,-1,-1,0,0.0,0.0,80.44,19.97,60.47
1543590950.0,-1,-1,0,0.0,0.0,80.44,19.99,60.45
1543591250.0,-1,-1,0,0.0,0.0,80.44,20.0,60.44
1543591550.0,-1,-1,0,0.0,0.0,80.44,20.02,60.42
1543591745.0,4,55779,0,0.0,0.0,81.07,20.03,61.04
1543592102.0,-1,-1,55623,0.187338264,1.8891253512605042,80.65,20.05,60.6
1543592401.0,-1,-1,0,0.0,0.0,78.75,20.06,58.69
1543592701.0,-1,-1,0,0.0,0.0,78.75,20.08,58.67
1543593000.0,-1,-1,0,0.0,0.0,77.69,20.09,57.6
1543593300.0,-1,-1,0,0.0,0.0,77.69,20.11,57.58
1543593599.0,-1,-1,0,0.0,0.0,76.83,20.12,56.71
1543593868.0,1,55784,0,0.0,0.0,75.96,20.05,55.91
1543594224.0,-1,-1,0,0.0,0.0,79.18,19.96,59.22
1543594523.0,-1,-1,5,1.684e-05,0.0002027558528428094,78.75,19.89,58.86
1543594823.0,-1,-1,0,0.0,0.0,78.33,19.81,58.52
1543595123.0,-1,-1,0,0.0,0.0,78.75,19.74,59.01
1543595422.0,-1,-1,0,0.0,0.0,78.96,19.66,59.3
1543595722.0,-1,-1,0,0.0,0.0,78.96,19.59,59.37
1543596021.0,-1,-1,0,0.0,0.0,79.18,19.51,59.67
1543596321.0,-1,-1,0,0.0,0.0,78.96,19.44,59.52
1543596621.0,-1,-1,0,0.0,0.0,78.75,19.36,59.39
1543596920.0,-1,-1,0,0.0,0.0,78.75,19.29,59.46
1543597220.0,-1,-1,0,0.0,0.0,79.81,19.21,60.6
1543597519.0,-1,-1,0,0.0,0.0,79.18,19.14,60.04
1543597819.0,-1,-1,0,0.0,0.0,79.39,19.07,60.32
1543598119.0,-1,-1,0,0.0,0.0,79.81,18.99,60.82
1543598418.0,-1,-1,0,0.0,0.0,80.02,18.92,61.1
1543598718.0,-1,-1,0,0.0,0.0,79.18,18.84,60.34
1543599017.0,-1,-1,0,0.0,0.0,79.6,18.77,60.83
1543599316.0,-1,-1,0,0.0,0.0,80.44,18.69,61.75
1543599616.0,-1,-1,0,0.0,0.0,79.81,18.62,61.19
1543599915.0,-1,-1,0,0.0,0.0,80.44,18.54,61.9
1543600215.0,-1,-1,0,0.0,0.0,79.6,18.47,61.13
1543600514.0,-1,-1,0,0.0,0.0,80.02,18.39,61.63
1543600814.0,-1,-1,0,0.0,0.0,79.39,18.32,61.07
1543601114.0,-1,-1,0,0.0,0.0,79.6,18.21,61.39
1543601413.0,-1,-1,0,0.0,0.0,79.6,18.11,61.49
1543601713.0,-1,-1,0,0.0,0.0,79.81,18.0,61.81
1543602012.0,-1,-1,0,0.0,0.0,79.6,17.9,61.7
1543602312.0,-1,-1,0,0.0,0.0,80.23,17.79,62.44
1543602611.0,-1,-1,0,0.0,0.0,80.44,17.69,62.75
1543602911.0,-1,-1,0,0.0,0.0,80.23,17.58,62.65
1543603210.0,-1,-1,0,0.0,0.0,80.02,17.48,62.54
1543603510.0,-1,-1,0,0.0,0.0,80.85,17.37,63.48
1543603809.0,-1,-1,0,0.0,0.0,81.69,17.27,64.42
1543603865.0,4,152772,0,0.0,0.0,81.07,17.25,63.82
1543604222.0,-1,-1,0,0.0,0.0,80.44,17.12,63.32
1543604521.0,-1,-1,0,0.0,0.0,80.02,16.99,63.03
1543604821.0,-1,-1,96988,0.326655584,3.919867008,78.33,16.83,61.5
1543605121.0,-1,-1,0,0.0,0.0,77.26,16.66,60.6
1543605420.0,-1,-1,0,0.0,0.0,77.9,16.5,61.4
1543605720.0,-1,-1,0,0.0,0.0,77.9,16.33,61.57
1543606020.0,-1,-1,0,0.0,0.0,77.47,16.17,61.3
1543606320.0,-1,-1,0,0.0,0.0,77.04,16.0,61.04
1543606602.0,1,152772,0,0.0,0.0,76.4,15.85,60.55
1543606960.0,-1,-1,0,0.0,0.0,77.47,15.65,61.82
1543607259.0,-1,-1,0,0.0,0.0,78.96,15.49,63.47
1543607559.0,-1,-1,0,0.0,0.0,77.9,15.32,62.58
1543607859.0,-1,-1,0,0.0,0.0,79.18,15.16,64.02
1543608158.0,-1,-1,0,0.0,0.0,78.75,14.94,63.81
1543608458.0,-1,-1,0,0.0,0.0,78.96,14.67,64.29
1543608757.0,-1,-1,0,0.0,0.0,79.6,14.4,65.2
1543609057.0,-1,-1,0,0.0,0.0,78.96,14.13,64.83
1543609356.0,-1,-1,0,0.0,0.0,79.81,13.86,65.95
1543609656.0,-1,-1,0,0.0,0.0,80.44,13.59,66.85
1543609956.0,-1,-1,0,0.0,0.0,79.6,13.32,66.28
1543610255.0,-1,-1,0,0.0,0.0,79.81,13.05,66.76
1543610555.0,-1,-1,0,0.0,0.0,80.23,12.78,67.45
1543610854.0,-1,-1,0,0.0,0.0,80.23,12.51,67.72
1543611154.0,-1,-1,0,0.0,0.0,80.23,12.24,67.99
1543611453.0,-1,-1,0,0.0,0.0,80.23,11.97,68.26
1543611753.0,-1,-1,0,0.0,0.0,80.44,11.76,68.68
1543612053.0,-1,-1,0,0.0,0.0,80.02,11.59,68.43
1543612352.0,-1,-1,0,0.0,0.0,80.23,11.43,68.8
1543612652.0,-1,-1,0,0.0,0.0,80.65,11.26,69.39
1543612951.0,-1,-1,0,0.0,0.0,80.65,11.1,69.55
1543613251.0,-1,-1,0,0.0,0.0,80.44,10.93,69.51
1543613550.0,-1,-1,0,0.0,0.0,80.23,10.77,69.46
1543613850.0,-1,-1,0,0.0,0.0,80.02,10.6,69.42
