Stove type: M441,,Latitude of the PUMA device location,[64.83723],Longitude of the PUMA device location,[-148.027],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543595778.0,3,0,0,0.0,0.0,57.03,19.58,37.45
1543596134.0,-1,-1,0,0.0,0.0,57.03,19.49,37.54
1543596434.0,-1,-1,0,0.0,0.0,57.03,19.41,37.62
1543596735.0,-1,-1,0,0.0,0.0,14.47,19.34,-4.87
1543597036.0,-1,-1,0,0.0,0.0,14.47,19.26,-4.79
1543597336.0,-1,-1,0,0.0,0.0,57.03,19.19,37.84
1543597637.0,-1,-1,0,0.0,0.0,57.03,19.11,37.92
1543597936.0,-1,-1,0,0.0,0.0,57.03,19.04,37.99
1543598237.0,-1,-1,0,0.0,0.0,57.03,18.96,38.07
1543598537.0,-1,-1,0,0.0,0.0,57.03,18.89,38.14
1543598838.0,-1,-1,0,0.0,0.0,57.03,18.81,38.22
1543599394.0,-1,-1,0,0.0,0.0,73.98,18.67,55.31
1543599693.0,-1,-1,0,0.0,0.0,73.76,18.6,55.16
1543599766.0,2,14657,102,0.00044421,0.021906246575342465,73.76,18.58,55.18
1543600137.0,3,16576,0,0.0,0.0,74.65,18.49,56.16
1543600509.0,-1,-1,1919,0.008357245,0.08087656451612903,75.08,18.39,56.69
1543600810.0,-1,-1,0,0.0,0.0,76.4,18.32,58.08
1543601110.0,-1,-1,0,0.0,0.0,76.4,18.21,58.19
1543601410.0,-1,-1,0,0.0,0.0,76.18,18.11,58.07
1543601710.0,-1,-1,0,0.0,0.0,75.74,18.0,57.74
1543602011.0,-1,-1,0,0.0,0.0,75.74,17.9,57.84
1543602311.0,-1,-1,0,0.0,0.0,76.61,17.79,58.82
1543602611.0,-1,-1,0,0.0,0.0,76.4,17.69,58.71
1543602911.0,-1,-1,0,0.0,0.0,77.47,17.58,59.89
1543603211.0,-1,-1,0,0.0,0.0,76.83,17.48,59.35
1543603511.0,-1,-1,0,0.0,0.0,76.61,17.37,59.24
1543603810.0,-1,-1,0,0.0,0.0,76.61,17.27,59.34
1543604111.0,-1,-1,0,0.0,0.0,77.69,17.16,60.53
1543604410.0,-1,-1,0,0.0,0.0,77.04,17.05,59.99
1543604638.0,4,36781,0,0.0,0.0,77.47,16.93,60.54
1543604995.0,-1,-1,0,0.0,0.0,75.52,16.73,58.79
1543605294.0,-1,-1,20205,0.087992775,1.0594447826086957,75.96,16.57,59.39
1543605594.0,-1,-1,0,0.0,0.0,75.52,16.4,59.12
1543605894.0,-1,-1,0,0.0,0.0,75.3,16.24,59.06
1543606194.0,-1,-1,0,0.0,0.0,75.08,16.07,59.01
1543606493.0,-1,-1,0,0.0,0.0,75.52,15.91,59.61
1543606793.0,-1,-1,0,0.0,0.0,73.98,15.74,58.24
1543607093.0,-1,-1,0,0.0,0.0,74.42,15.58,58.84
1543607393.0,-1,-1,0,0.0,0.0,73.98,15.41,58.57
1543607693.0,-1,-1,0,0.0,0.0,74.21,15.25,58.96
1543607993.0,-1,-1,0,0.0,0.0,73.98,15.08,58.9
1543608293.0,-1,-1,0,0.0,0.0,73.32,14.82,58.5
1543608542.0,2,36787,0,0.0,0.0,74.21,14.59,59.62
1543608901.0,3,38649,0,0.0,0.0,77.04,14.27,62.77
1543609274.0,-1,-1,0,0.0,0.0,75.08,13.93,61.15
1543609574.0,-1,-1,6,2.613e-05,0.00031356,75.74,13.66,62.08
1543609874.0,-1,-1,0,0.0,0.0,76.18,13.39,62.79
1543610175.0,-1,-1,1862,0.00810901,0.09698483720930232,77.47,13.12,64.35
1543610475.0,-1,-1,0,0.0,0.0,76.4,12.85,63.55
1543610776.0,-1,-1,0,0.0,0.0,77.69,12.58,65.11
1543611076.0,-1,-1,0,0.0,0.0,78.11,12.31,65.8
1543611253.0,4,49205,0,0.0,0.0,77.9,12.15,65.75
1543611626.0,-1,-1,0,0.0,0.0,75.3,11.83,63.47
1543611926.0,-1,-1,0,0.0,0.0,74.21,11.66,62.55
1543612225.0,-1,-1,0,0.0,0.0,74.21,11.5,62.71
1543612525.0,-1,-1,0,0.0,0.0,74.21,11.33,62.88
1543612825.0,-1,-1,10556,0.04597138,0.55165656,74.65,11.17,63.48
1543613125.0,-1,-1,0,0.0,0.0,73.98,11.0,62.98
1543613385.0,2,49210,0,0.0,0.0,73.98,10.86,63.12
1543613745.0,3,51073,0,0.0,0.0,75.52,10.66,64.86
1543614117.0,-1,-1,0,0.0,0.0,77.04,10.46,66.58
1543614418.0,-1,-1,0,0.0,0.0,77.26,10.29,66.97
1543614718.0,-1,-1,0,0.0,0.0,78.75,10.13,68.62
1543615019.0,-1,-1,0,0.0,0.0,77.26,9.96,67.3
1543615319.0,-1,-1,5,2.1775e-05,0.0002613,77.69,9.79,67.9
1543615620.0,-1,-1,0,0.0,0.0,77.9,9.63,68.27
1543615920.0,-1,-1,1863,0.008113364999999999,0.09736038,77.26,9.46,67.8
1543615992.0,4,61090,0,0.0,0.0,77.47,9.42,68.05
1543616365.0,-1,-1,0,0.0,0.0,75.3,9.22,66.08
1543616665.0,-1,-1,0,0.0,0.0,74.42,9.05,65.37
1543616965.0,-1,-1,0,0.0,0.0,74.21,8.89,65.32
1543617265.0,-1,-1,0,0.0,0.0,74.21,8.72,65.49
1543617565.0,-1,-1,0,0.0,0.0,74.65,8.56,66.09
1543617704.0,2,61093,0,0.0,0.0,73.09,8.48,64.61
1543618061.0,-1,-1,0,0.0,0.0,75.74,8.29,67.45
1543618117.0,3,63215,10017,0.043624035,2.80440225,75.3,8.26,67.04
1543618474.0,-1,-1,0,0.0,0.0,76.61,8.06,68.55
1543618774.0,-1,-1,0,0.0,0.0,77.26,7.89,69.37
1543619075.0,-1,-1,0,0.0,0.0,76.83,7.62,69.21
1543619375.0,-1,-1,0,0.0,0.0,77.47,7.33,70.14
1543619675.0,-1,-1,0,0.0,0.0,77.04,7.05,69.99
1543619975.0,-1,-1,0,0.0,0.0,77.69,6.76,70.93
1543620274.0,-1,-1,3,1.3065e-05,0.00015730434782608695,77.9,6.48,71.42
1543620364.0,4,73300,0,0.0,0.0,78.11,6.39,71.72
1543620737.0,-1,-1,0,0.0,0.0,74.87,6.04,68.83
1543621036.0,-1,-1,2122,0.009241309999999999,0.11126660869565218,74.65,5.76,68.89
1543621336.0,-1,-1,0,0.0,0.0,73.76,5.47,68.29
1543621637.0,-1,-1,0,0.0,0.0,74.21,5.18,69.03
1543621936.0,-1,-1,0,0.0,0.0,73.76,4.9,68.86
1543621993.0,2,73446,0,0.0,0.0,74.21,4.85,69.36
1543622325.0,3,75164,0,0.0,0.0,76.61,4.53,72.08
1543622681.0,-1,-1,0,0.0,0.0,76.18,4.28,71.9
1543622982.0,-1,-1,0,0.0,0.0,77.04,4.08,72.96
1543623282.0,-1,-1,0,0.0,0.0,76.83,3.89,72.94
1543623583.0,-1,-1,10085,0.043920175,0.5252911295681063,76.83,3.69,73.14
1543623884.0,-1,-1,0,0.0,0.0,77.26,3.5,73.76
1543624183.0,-1,-1,0,0.0,0.0,77.04,3.3,73.74
1543624484.0,-1,-1,0,0.0,0.0,76.83,3.11,73.72
1543624784.0,-1,-1,0,0.0,0.0,77.04,2.91,74.13
1543625084.0,-1,-1,0,0.0,0.0,76.83,2.72,74.11
