Stove type: Laser 530,,Latitude of the PUMA device location,[64.92216],Longitude of the PUMA device location,[-147.931],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543924837.0,1,0,0,0.0,0.0,70.6,10.22,60.38
1543925083.0,4,2070,2070,0.0060174899999999995,0.08806082926829267,93.81,10.19,83.62
1543925440.0,-1,-1,0,0.0,0.0,74.87,10.16,64.71
1543925739.0,-1,-1,0,0.0,0.0,75.08,10.13,64.95
1543926039.0,-1,-1,0,0.0,0.0,72.19,10.1,62.09
1543926339.0,-1,-1,0,0.0,0.0,71.97,10.07,61.9
1543926639.0,-1,-1,0,0.0,0.0,71.06,10.04,61.02
1543926939.0,-1,-1,0,0.0,0.0,70.83,10.01,60.82
1543927239.0,-1,-1,0,0.0,0.0,69.91,9.98,59.93
1543927539.0,-1,-1,0,0.0,0.0,69.45,9.95,59.5
1543927839.0,-1,-1,0,0.0,0.0,69.21,9.92,59.29
1543927896.0,0,2104,34,9.883799999999999e-05,0.0062423999999999995,68.75,9.91,58.84
1543927951.0,1,2801,697,0.002026179,0.13262262545454545,70.83,9.9,60.93
1543928240.0,4,5848,3047,0.008857628999999999,0.11033724705882351,73.76,9.88,63.88
1543928603.0,-1,-1,0,0.0,0.0,71.97,9.83,62.14
1543928903.0,-1,-1,0,0.0,0.0,71.29,9.78,61.51
1543929204.0,-1,-1,0,0.0,0.0,71.52,9.74,61.78
1543929504.0,-1,-1,0,0.0,0.0,70.14,9.69,60.45
1543929804.0,-1,-1,0,0.0,0.0,68.51,9.65,58.86
1543930104.0,-1,-1,0,0.0,0.0,69.45,9.6,59.85
1543930404.0,-1,-1,0,0.0,0.0,68.51,9.56,58.95
1543930704.0,-1,-1,0,0.0,0.0,69.68,9.51,60.17
1543931003.0,-1,-1,0,0.0,0.0,70.14,9.47,60.67
1543931303.0,-1,-1,0,0.0,0.0,69.68,9.42,60.26
1543931604.0,-1,-1,0,0.0,0.0,69.68,9.38,60.3
1543931904.0,-1,-1,0,0.0,0.0,68.75,9.33,59.42
1543932204.0,-1,-1,0,0.0,0.0,69.68,9.22,60.46
1543932504.0,-1,-1,0,0.0,0.0,69.21,9.07,60.14
1543932804.0,-1,-1,0,0.0,0.0,68.51,8.92,59.59
1543933103.0,-1,-1,0,0.0,0.0,68.28,8.77,59.51
1543933403.0,-1,-1,0,0.0,0.0,68.75,8.62,60.13
1543933460.0,0,5850,2,5.814e-06,0.0003672,67.8,8.59,59.21
1543933517.0,1,6567,717,0.002084319,0.13164119999999999,68.51,8.56,59.95
1543933837.0,4,9870,3303,0.009601821,0.10802048625,73.54,8.4,65.14
1543934193.0,-1,-1,0,0.0,0.0,70.6,8.22,62.38
1543934493.0,-1,-1,0,0.0,0.0,71.06,8.07,62.99
1543934793.0,-1,-1,0,0.0,0.0,70.6,7.92,62.68
1543935093.0,-1,-1,0,0.0,0.0,69.45,7.77,61.68
1543935393.0,-1,-1,0,0.0,0.0,69.45,7.62,61.83
1543935665.0,0,9870,0,0.0,0.0,69.21,7.5,61.71
1543935721.0,1,10565,695,0.002020365,0.12988060714285715,68.98,7.48,61.5
1543936043.0,4,13866,3301,0.009596007,0.10728455031055902,73.09,7.39,65.7
1543936400.0,-1,-1,0,0.0,0.0,72.19,7.28,64.91
1543936700.0,-1,-1,0,0.0,0.0,72.42,7.19,65.23
1543936999.0,-1,-1,0,0.0,0.0,71.29,7.1,64.19
1543937300.0,-1,-1,0,0.0,0.0,69.21,7.01,62.2
1543937600.0,-1,-1,0,0.0,0.0,69.21,6.92,62.29
1543937900.0,-1,-1,0,0.0,0.0,69.45,6.83,62.62
1543938200.0,-1,-1,0,0.0,0.0,70.37,6.74,63.63
1543938500.0,-1,-1,0,0.0,0.0,68.51,6.65,61.86
1543938800.0,-1,-1,0,0.0,0.0,68.75,6.56,62.19
1543939099.0,-1,-1,0,0.0,0.0,69.45,6.47,62.98
1543939399.0,-1,-1,0,0.0,0.0,69.21,6.5,62.71
1543939699.0,-1,-1,0,0.0,0.0,70.14,6.59,63.55
1543939999.0,-1,-1,0,0.0,0.0,69.21,6.68,62.53
1543940299.0,-1,-1,0,0.0,0.0,70.37,6.77,63.6
1543940599.0,-1,-1,0,0.0,0.0,69.21,6.86,62.35
1543940899.0,-1,-1,0,0.0,0.0,68.75,6.95,61.8
1543941199.0,-1,-1,0,0.0,0.0,68.28,7.04,61.24
1543941433.0,0,13868,2,5.814e-06,8.944615384615384e-05,67.57,7.11,60.46
1543941489.0,1,14583,715,0.002078505,0.13361817857142858,68.04,7.13,60.91
1543941759.0,4,17497,2914,0.008470998,0.11294664,73.09,7.21,65.88
1543941816.0,1,17944,447,0.001299429,0.0820692,72.87,7.22,65.65
1543941872.0,4,18075,131,0.000380817,0.024481092857142856,71.97,7.24,64.73
1543942229.0,-1,-1,0,0.0,0.0,71.06,7.35,63.71
1543942529.0,-1,-1,0,0.0,0.0,72.87,7.44,65.43
1543942829.0,-1,-1,0,0.0,0.0,70.37,7.52,62.85
1543943128.0,-1,-1,0,0.0,0.0,68.98,7.55,61.43
1543943428.0,-1,-1,0,0.0,0.0,68.98,7.58,61.4
1543943710.0,0,18075,0,0.0,0.0,69.21,7.61,61.6
1543943766.0,1,18771,696,0.002023272,0.13006748571428572,68.51,7.62,60.89
1543944033.0,4,21642,2871,0.008345996999999999,0.11253029662921347,71.29,7.64,63.65
1543944090.0,1,22089,447,0.001299429,0.0820692,72.42,7.65,64.77
1543944148.0,4,22175,86,0.000250002,0.015517365517241378,73.09,7.65,65.44
1543944505.0,-1,-1,0,0.0,0.0,72.19,7.69,64.5
1543944805.0,-1,-1,0,0.0,0.0,72.19,7.72,64.47
1543945105.0,-1,-1,0,0.0,0.0,71.29,7.75,63.54
1543945405.0,-1,-1,0,0.0,0.0,70.37,7.78,62.59
1543945705.0,-1,-1,0,0.0,0.0,69.68,7.81,61.87
1543946005.0,-1,-1,0,0.0,0.0,69.21,7.84,61.37
1543946084.0,0,22176,1,2.907e-06,0.00013247088607594936,67.8,7.85,59.95
1543946140.0,1,22875,699,0.0020319929999999997,0.13062812142857141,68.75,7.85,60.9
1543946407.0,4,25754,2879,0.008369253,0.1128438606741573,73.32,7.88,65.44
1543946764.0,-1,-1,0,0.0,0.0,72.19,7.7,64.49
1543947064.0,-1,-1,0,0.0,0.0,71.97,7.55,64.42
1543947364.0,-1,-1,0,0.0,0.0,70.83,7.4,63.43
1543947664.0,-1,-1,0,0.0,0.0,69.45,7.25,62.2
1543947964.0,-1,-1,0,0.0,0.0,69.21,7.1,62.11
1543948263.0,-1,-1,0,0.0,0.0,69.68,6.95,62.73
1543948563.0,-1,-1,0,0.0,0.0,68.98,6.8,62.18
1543948863.0,-1,-1,0,0.0,0.0,69.68,6.65,63.03
1543949163.0,-1,-1,0,0.0,0.0,69.45,6.5,62.95
1543949463.0,-1,-1,0,0.0,0.0,68.98,6.35,62.63
1543949763.0,-1,-1,0,0.0,0.0,68.28,6.2,62.08
1543950063.0,-1,-1,0,0.0,0.0,68.04,6.1,61.94
1543950215.0,0,26162,408,0.001186056,0.0280908,68.04,6.13,61.91
1543950271.0,1,26876,714,0.002075598,0.1334313,68.51,6.15,62.36
