Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.81606],Longitude of the PUMA device location,[-148.002],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543660008.0,-1,-1,0,0.0,0.0,81.89,7.5,74.39
1543660308.0,-1,-1,0,0.0,0.0,74.87,7.67,67.2
1543660608.0,-1,-1,0,0.0,0.0,73.54,7.83,65.71
1543660907.0,-1,-1,0,0.0,0.0,72.42,8.0,64.42
1543661207.0,-1,-1,0,0.0,0.0,73.76,8.16,65.6
1543661507.0,-1,-1,0,0.0,0.0,73.76,8.33,65.43
1543661807.0,-1,-1,0,0.0,0.0,72.19,8.49,63.7
1543662106.0,-1,-1,0,0.0,0.0,71.74,8.66,63.08
1543662406.0,-1,-1,0,0.0,0.0,73.09,8.82,64.27
1543662706.0,-1,-1,0,0.0,0.0,73.54,8.99,64.55
1543663005.0,-1,-1,0,0.0,0.0,74.65,9.15,65.5
1543663305.0,-1,-1,0,0.0,0.0,74.21,9.32,64.89
1543663605.0,-1,-1,0,0.0,0.0,73.76,9.48,64.28
1543663904.0,-1,-1,0,0.0,0.0,72.87,9.65,63.22
1543664204.0,-1,-1,0,0.0,0.0,73.54,9.81,63.73
1543664504.0,-1,-1,0,0.0,0.0,73.09,9.98,63.11
1543664804.0,-1,-1,0,0.0,0.0,73.76,10.14,63.62
1543665104.0,-1,-1,0,0.0,0.0,73.98,10.31,63.67
1543665403.0,-1,-1,0,0.0,0.0,73.76,10.47,63.29
1543665703.0,-1,-1,0,0.0,0.0,74.65,10.56,64.09
1543666003.0,-1,-1,0,0.0,0.0,74.42,10.5,63.92
1543666302.0,-1,-1,0,0.0,0.0,73.98,10.44,63.54
1543666602.0,-1,-1,0,0.0,0.0,74.42,10.38,64.04
1543666902.0,-1,-1,0,0.0,0.0,73.09,10.32,62.77
1543667202.0,-1,-1,0,0.0,0.0,72.42,10.26,62.16
1543667501.0,-1,-1,0,0.0,0.0,74.87,10.2,64.67
1543667801.0,-1,-1,0,0.0,0.0,73.98,10.14,63.84
1543668101.0,-1,-1,0,0.0,0.0,72.65,10.08,62.57
1543668400.0,-1,-1,0,0.0,0.0,73.98,10.02,63.96
1543668700.0,-1,-1,0,0.0,0.0,74.65,9.96,64.69
1543669000.0,-1,-1,0,0.0,0.0,74.65,9.9,64.75
1543669300.0,-1,-1,0,0.0,0.0,74.21,9.83,64.38
1543669600.0,-1,-1,0,0.0,0.0,73.76,9.76,64.0
1543669899.0,-1,-1,0,0.0,0.0,74.42,9.69,64.73
1543670199.0,-1,-1,0,0.0,0.0,74.65,9.61,65.04
1543670499.0,-1,-1,0,0.0,0.0,74.87,9.54,65.33
1543670799.0,-1,-1,0,0.0,0.0,74.65,9.46,65.19
1543671099.0,-1,-1,0,0.0,0.0,74.42,9.39,65.03
1543671398.0,-1,-1,0,0.0,0.0,74.65,9.31,65.34
1543671698.0,-1,-1,0,0.0,0.0,75.08,9.24,65.84
1543671998.0,-1,-1,0,0.0,0.0,73.54,9.16,64.38
1543672298.0,-1,-1,0,0.0,0.0,73.76,9.09,64.67
1543672598.0,-1,-1,0,0.0,0.0,74.21,9.01,65.2
1543672898.0,-1,-1,0,0.0,0.0,73.98,9.06,64.92
1543673197.0,-1,-1,0,0.0,0.0,75.08,9.38,65.7
1543673497.0,-1,-1,0,0.0,0.0,75.08,9.69,65.39
1543673797.0,-1,-1,0,0.0,0.0,73.76,10.01,63.75
1543674097.0,-1,-1,0,0.0,0.0,73.98,10.32,63.66
1543674397.0,-1,-1,0,0.0,0.0,74.42,10.64,63.78
1543674696.0,-1,-1,0,0.0,0.0,73.98,10.95,63.03
1543674996.0,-1,-1,0,0.0,0.0,74.21,11.27,62.94
1543675296.0,-1,-1,0,0.0,0.0,75.08,11.58,63.5
1543675595.0,-1,-1,0,0.0,0.0,73.54,11.89,61.65
1543675895.0,-1,-1,0,0.0,0.0,74.42,12.21,62.21
1543676195.0,-1,-1,0,0.0,0.0,73.98,12.52,61.46
1543676495.0,-1,-1,0,0.0,0.0,74.65,12.81,61.84
1543676795.0,-1,-1,0,0.0,0.0,73.76,13.04,60.72
1543677094.0,-1,-1,0,0.0,0.0,75.08,13.26,61.82
1543677394.0,-1,-1,0,0.0,0.0,75.3,13.49,61.81
1543677694.0,-1,-1,0,0.0,0.0,73.76,13.71,60.05
1543677994.0,-1,-1,0,0.0,0.0,74.87,13.94,60.93
1543678293.0,-1,-1,0,0.0,0.0,74.87,14.16,60.71
1543678593.0,-1,-1,0,0.0,0.0,74.21,14.38,59.83
1543678893.0,-1,-1,0,0.0,0.0,74.42,14.61,59.81
1543679192.0,-1,-1,0,0.0,0.0,75.08,14.83,60.25
1543679492.0,-1,-1,0,0.0,0.0,75.3,15.06,60.24
1543679791.0,-1,-1,0,0.0,0.0,75.3,15.28,60.02
1543680091.0,-1,-1,0,0.0,0.0,74.65,15.51,59.14
1543680391.0,-1,-1,0,0.0,0.0,74.65,15.73,58.92
1543680691.0,-1,-1,0,0.0,0.0,74.42,15.96,58.46
1543680990.0,-1,-1,0,0.0,0.0,75.3,16.18,59.12
1543681290.0,-1,-1,0,0.0,0.0,75.08,16.41,58.67
1543681590.0,-1,-1,0,0.0,0.0,74.65,16.63,58.02
1543681890.0,-1,-1,0,0.0,0.0,75.3,16.86,58.44
1543682190.0,-1,-1,0,0.0,0.0,74.65,17.08,57.57
1543682490.0,-1,-1,0,0.0,0.0,75.3,17.31,57.99
1543682789.0,-1,-1,0,0.0,0.0,75.08,17.53,57.55
1543683089.0,-1,-1,0,0.0,0.0,75.3,17.76,57.54
1543683389.0,-1,-1,0,0.0,0.0,75.52,17.98,57.54
1543683688.0,-1,-1,0,0.0,0.0,75.3,18.15,57.15
1543683988.0,-1,-1,0,0.0,0.0,74.21,18.2,56.01
1543684288.0,-1,-1,0,0.0,0.0,74.21,18.24,55.97
1543684587.0,-1,-1,0,0.0,0.0,73.76,18.29,55.47
1543684887.0,-1,-1,0,0.0,0.0,73.98,18.33,55.65
1543685187.0,-1,-1,0,0.0,0.0,73.98,18.38,55.6
1543685487.0,-1,-1,0,0.0,0.0,75.52,18.42,57.1
1543685786.0,-1,-1,0,0.0,0.0,75.96,18.47,57.49
1543686086.0,-1,-1,0,0.0,0.0,75.52,18.51,57.01
1543686386.0,-1,-1,0,0.0,0.0,74.65,18.56,56.09
1543686686.0,-1,-1,0,0.0,0.0,74.87,18.6,56.27
1543686985.0,-1,-1,0,0.0,0.0,75.96,18.65,57.31
1543687285.0,-1,-1,0,0.0,0.0,75.52,18.71,56.81
1543687585.0,-1,-1,0,0.0,0.0,73.98,18.81,55.17
1543687885.0,-1,-1,0,0.0,0.0,75.3,18.92,56.38
1543688184.0,-1,-1,0,0.0,0.0,75.74,19.02,56.72
1543688484.0,-1,-1,0,0.0,0.0,75.08,19.13,55.95
1543688784.0,-1,-1,0,0.0,0.0,75.52,19.23,56.29
1543689083.0,-1,-1,0,0.0,0.0,75.08,19.34,55.74
1543689383.0,-1,-1,0,0.0,0.0,74.21,19.44,54.77
1543689682.0,-1,-1,0,0.0,0.0,75.3,19.55,55.75
1543689982.0,-1,-1,0,0.0,0.0,74.87,19.65,55.22
1543690282.0,-1,-1,0,0.0,0.0,74.21,19.76,54.45
