Stove type: Laser 530,,Latitude of the PUMA device location,[64.8388],Longitude of the PUMA device location,[-148.064],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543919064.0,-1,-1,0,0.0,0.0,72.65,12.11,60.54
1543919363.0,-1,-1,0,0.0,0.0,69.91,11.95,57.96
1543919663.0,-1,-1,0,0.0,0.0,68.28,11.79,56.49
1543919963.0,-1,-1,0,0.0,0.0,68.28,11.62,56.66
1543920263.0,-1,-1,0,0.0,0.0,68.28,11.46,56.82
1543920563.0,-1,-1,0,0.0,0.0,67.57,11.29,56.28
1543920863.0,-1,-1,0,0.0,0.0,65.89,11.13,54.76
1543921163.0,-1,-1,0,0.0,0.0,67.09,10.96,56.13
1543921463.0,-1,-1,0,0.0,0.0,66.85,10.89,55.96
1543921762.0,-1,-1,0,0.0,0.0,66.61,10.83,55.78
1543922062.0,-1,-1,0,0.0,0.0,67.09,10.77,56.32
1543922163.0,1,249,1,2.907e-06,0.00010361584158415842,67.09,10.75,56.34
1543922497.0,2,3013,0,0.0,0.0,68.04,10.68,57.36
1543922853.0,-1,-1,2764,0.008034948,0.08125228314606742,68.75,10.61,58.14
1543923153.0,-1,-1,0,0.0,0.0,69.91,10.55,59.36
1543923427.0,4,8880,0,0.0,0.0,70.37,10.49,59.88
1543923784.0,-1,-1,0,0.0,0.0,68.98,10.42,58.56
1543924084.0,-1,-1,5867,0.017055369,0.204664428,68.04,10.36,57.68
1543924384.0,-1,-1,0,0.0,0.0,67.57,10.3,57.27
1543924683.0,-1,-1,0,0.0,0.0,67.57,10.24,57.33
1544116892.0,4,38608,0,0.0,0.0,68.28,14.48,53.8
1544116949.0,1,38620,0,0.0,0.0,68.75,14.47,54.28
1544117259.0,4,41124,0,0.0,0.0,68.51,14.46,54.05
1544117314.0,2,41470,29728,0.08641929599999999,5.656535738181818,69.45,14.45,55.0
1544117513.0,4,42722,0,0.0,0.0,69.68,14.44,55.24
1544117868.0,-1,-1,12,3.4884e-05,0.00035375323943661973,69.21,14.43,54.78
1544118168.0,-1,-1,0,0.0,0.0,68.98,14.41,54.57
1544118468.0,-1,-1,2504,0.007279127999999999,0.08734953599999999,68.51,14.4,54.11
1544118769.0,-1,-1,0,0.0,0.0,69.21,14.38,54.83
1544119069.0,-1,-1,346,0.001005822,0.012069864,68.28,14.37,53.91
1544119369.0,-1,-1,0,0.0,0.0,68.75,14.28,54.47
1544119670.0,-1,-1,1252,0.0036395639999999996,0.043529669102990026,67.8,14.12,53.68
1544119970.0,-1,-1,0,0.0,0.0,67.57,13.97,53.6
1544120270.0,-1,-1,0,0.0,0.0,67.09,13.82,53.27
1544120570.0,-1,-1,0,0.0,0.0,67.33,13.68,53.65
1544120870.0,-1,-1,0,0.0,0.0,67.57,13.53,54.04
1544121170.0,-1,-1,0,0.0,0.0,66.85,13.38,53.47
1544121471.0,-1,-1,0,0.0,0.0,66.37,13.22,53.15
1544121771.0,-1,-1,0,0.0,0.0,66.85,13.07,53.78
1544121923.0,1,42727,0,0.0,0.0,66.85,13.0,53.85
1544122257.0,2,45500,0,0.0,0.0,68.04,12.83,55.21
1544122616.0,-1,-1,0,0.0,0.0,68.28,12.65,55.63
1544122916.0,-1,-1,0,0.0,0.0,69.21,12.5,56.71
1544123090.0,4,50754,0,0.0,0.0,69.21,12.42,56.79
1544123447.0,-1,-1,0,0.0,0.0,68.98,12.24,56.74
1544123747.0,-1,-1,0,0.0,0.0,68.75,12.09,56.66
1544124047.0,-1,-1,0,0.0,0.0,68.75,11.94,56.81
1544124347.0,-1,-1,5,1.4534999999999999e-05,0.00017441999999999997,69.45,11.79,57.66
1544124648.0,-1,-1,0,0.0,0.0,68.28,11.64,56.64
1544124948.0,-1,-1,2773,0.008061111,0.09673333199999999,68.28,11.49,56.79
1544125248.0,-1,-1,0,0.0,0.0,68.51,11.34,57.17
1544125549.0,-1,-1,0,0.0,0.0,68.51,11.19,57.32
1544125849.0,-1,-1,0,0.0,0.0,68.28,11.04,57.24
1544126149.0,-1,-1,5254,0.015273377999999999,0.183280536,68.28,10.89,57.39
1544126463.0,-1,-1,0,0.0,0.0,66.85,10.72,56.13
1544126764.0,-1,-1,0,0.0,0.0,68.28,10.54,57.74
1544127064.0,-1,-1,0,0.0,0.0,68.75,10.36,58.39
1544127364.0,-1,-1,0,0.0,0.0,68.04,10.18,57.86
1544127664.0,-1,-1,0,0.0,0.0,68.04,10.0,58.04
1544127964.0,-1,-1,0,0.0,0.0,68.28,9.82,58.46
1544128265.0,-1,-1,0,0.0,0.0,67.8,9.64,58.16
1544128565.0,-1,-1,0,0.0,0.0,68.28,9.46,58.82
1544128865.0,-1,-1,0,0.0,0.0,68.04,9.28,58.76
1544129165.0,-1,-1,0,0.0,0.0,68.04,9.1,58.94
1544129465.0,-1,-1,0,0.0,0.0,67.57,8.92,58.65
1544129766.0,-1,-1,0,0.0,0.0,66.61,8.74,57.87
1544130066.0,-1,-1,0,0.0,0.0,68.75,8.61,60.14
1544130366.0,-1,-1,0,0.0,0.0,67.8,8.65,59.15
1544130666.0,-1,-1,0,0.0,0.0,67.09,8.7,58.39
1544130966.0,-1,-1,0,0.0,0.0,68.04,8.74,59.3
1544131266.0,-1,-1,0,0.0,0.0,67.8,8.79,59.01
1544131567.0,-1,-1,0,0.0,0.0,67.57,8.84,58.73
1544131867.0,-1,-1,0,0.0,0.0,66.37,8.88,57.49
1544132167.0,-1,-1,0,0.0,0.0,66.85,8.93,57.92
1544132467.0,-1,-1,0,0.0,0.0,66.13,8.97,57.16
1544132768.0,-1,-1,0,0.0,0.0,67.09,9.02,58.07
1544133068.0,-1,-1,0,0.0,0.0,67.09,9.06,58.03
1544133368.0,-1,-1,0,0.0,0.0,67.09,9.11,57.98
1544133668.0,-1,-1,0,0.0,0.0,67.09,9.15,57.94
1544133968.0,-1,-1,0,0.0,0.0,67.33,9.21,58.12
1544134268.0,-1,-1,0,0.0,0.0,67.09,9.27,57.82
1544134569.0,-1,-1,0,0.0,0.0,67.33,9.33,58.0
1544134642.0,1,50757,0,0.0,0.0,66.61,9.35,57.26
1544134980.0,2,53570,0,0.0,0.0,68.04,9.42,58.62
1544135337.0,-1,-1,0,0.0,0.0,67.8,9.49,58.31
1544135512.0,4,56925,0,0.0,0.0,69.21,9.52,59.69
1544135869.0,-1,-1,0,0.0,0.0,68.75,9.59,59.16
1544136169.0,-1,-1,0,0.0,0.0,68.75,9.65,59.1
1544136469.0,-1,-1,0,0.0,0.0,68.75,9.71,59.04
1544136770.0,-1,-1,0,0.0,0.0,68.51,9.77,58.74
1544137070.0,-1,-1,0,0.0,0.0,67.8,9.83,57.97
1544137370.0,-1,-1,0,0.0,0.0,68.51,9.86,58.65
1544137670.0,-1,-1,0,0.0,0.0,68.04,9.86,58.18
1544137970.0,-1,-1,3,8.721e-06,0.000104652,68.51,9.86,58.65
1544138271.0,-1,-1,0,0.0,0.0,68.28,9.86,58.42
1544138571.0,-1,-1,2813,0.008177391,0.09812869199999999,68.04,9.86,58.18
1544138871.0,-1,-1,0,0.0,0.0,67.57,9.86,57.71
1544139172.0,-1,-1,0,0.0,0.0,67.57,9.86,57.71
1544139472.0,-1,-1,3355,0.009752984999999999,0.11703581999999998,67.09,9.86,57.23
