Stove type: Laser 56/560,,Latitude of the PUMA device location,[64.86001],Longitude of the PUMA device location,[-147.913],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543278754.0,4,38646,0,0.0,0.0,73.09,27.48,45.61
1543279111.0,-1,-1,511,0.001485477,0.014979600000000001,70.83,27.45,43.38
1543279410.0,-1,-1,0,0.0,0.0,69.45,27.42,42.03
1543279710.0,-1,-1,1070,0.00311049,0.03732588,68.75,27.39,41.36
1543280010.0,-1,-1,0,0.0,0.0,68.75,27.36,41.39
1543280310.0,-1,-1,3047,0.008857628999999999,0.10629154799999999,68.04,27.33,40.71
1543280610.0,-1,-1,0,0.0,0.0,68.04,27.2,40.84
1543280745.0,1,38652,1527,0.004438989,0.11837304,67.8,27.13,40.67
1543280801.0,2,39202,0,0.0,0.0,68.04,27.1,40.94
1543280976.0,1,40256,0,0.0,0.0,68.04,27.0,41.04
1543281272.0,4,43393,0,0.0,0.0,71.29,26.84,44.45
1543281329.0,2,43734,0,0.0,0.0,71.97,26.81,45.16
1543281685.0,-1,-1,0,0.0,0.0,71.74,26.61,45.13
1543281984.0,-1,-1,0,0.0,0.0,71.74,26.45,45.29
1543282284.0,-1,-1,3,8.721e-06,0.000104652,72.42,26.28,46.14
1543282341.0,4,49819,0,0.0,0.0,73.09,26.25,46.84
1543282698.0,-1,-1,551,0.0016017569999999999,0.016152171428571428,71.29,26.06,45.23
1543282997.0,-1,-1,0,0.0,0.0,69.91,25.89,44.02
1543283297.0,-1,-1,1058,0.003075606,0.036907272,68.98,25.73,43.25
1543283597.0,-1,-1,0,0.0,0.0,69.45,25.56,43.89
1543283896.0,-1,-1,3230,0.00938961,0.11305216053511705,68.51,25.4,43.11
1543284196.0,-1,-1,0,0.0,0.0,68.04,25.27,42.77
1543284289.0,1,49820,341,0.000991287,0.038372399999999994,68.04,25.24,42.8
1543284345.0,2,50372,0,0.0,0.0,67.8,25.22,42.58
1543284521.0,1,51430,0,0.0,0.0,67.33,25.16,42.17
1543284835.0,4,54753,0,0.0,0.0,71.29,25.05,46.24
1543284891.0,2,55094,4478,0.013017546,0.8368422428571428,72.19,25.03,47.16
1543285247.0,-1,-1,0,0.0,0.0,71.52,24.9,46.62
1543285547.0,-1,-1,0,0.0,0.0,71.74,24.8,46.94
1543285847.0,-1,-1,0,0.0,0.0,72.65,24.69,47.96
1543285903.0,4,61132,0,0.0,0.0,72.87,24.67,48.2
1543286260.0,-1,-1,0,0.0,0.0,71.52,24.55,46.97
1543286559.0,-1,-1,0,0.0,0.0,69.68,24.44,45.24
1543286859.0,-1,-1,0,0.0,0.0,68.98,24.34,44.64
1543287159.0,-1,-1,6,1.7442e-05,0.000209304,68.75,24.23,44.52
1543287459.0,-1,-1,0,0.0,0.0,68.51,24.13,44.38
1543287758.0,-1,-1,550,0.00159885,0.019250367892976586,68.51,24.1,44.41
1543288021.0,1,61132,0,0.0,0.0,67.8,24.12,43.68
1543288077.0,2,61683,1054,0.0030639779999999998,0.19697001428571426,67.8,24.13,43.67
1543288253.0,1,62741,0,0.0,0.0,68.28,24.15,44.13
1543288564.0,4,66038,3137,0.009119259,0.105560554340836,71.06,24.18,46.88
1543288621.0,2,66379,0,0.0,0.0,71.74,24.18,47.56
1543288928.0,4,68229,341,0.000991287,0.011624212377850163,73.09,24.21,48.88
1543289292.0,-1,-1,0,0.0,0.0,70.37,24.25,46.12
1543289591.0,-1,-1,0,0.0,0.0,68.75,24.28,44.47
1543289891.0,-1,-1,0,0.0,0.0,68.04,24.31,43.73
1543290135.0,1,68231,0,0.0,0.0,67.8,24.33,43.47
1543290191.0,2,68775,6085,0.017689095,1.137156107142857,67.09,24.34,42.75
1543290365.0,1,69817,0,0.0,0.0,67.57,24.36,43.21
1543290721.0,-1,-1,0,0.0,0.0,70.83,24.39,46.44
1543290777.0,2,73975,0,0.0,0.0,71.06,24.4,46.66
1543291133.0,-1,-1,0,0.0,0.0,72.19,24.43,47.76
1543291432.0,-1,-1,0,0.0,0.0,71.52,24.36,47.16
1543291732.0,-1,-1,0,0.0,0.0,73.32,24.25,49.07
1543291795.0,4,80101,0,0.0,0.0,73.09,24.23,48.86
1543292152.0,-1,-1,1,2.907e-06,2.931428571428571e-05,69.91,24.11,45.8
1543292452.0,-1,-1,0,0.0,0.0,67.8,24.0,43.8
1543292751.0,-1,-1,552,0.001604664,0.01932036923076923,68.04,23.9,44.14
1543293051.0,-1,-1,0,0.0,0.0,67.8,23.79,44.01
1543293108.0,1,80214,1058,0.003075606,0.19424879999999997,68.04,23.77,44.27
1543293164.0,2,80694,0,0.0,0.0,67.09,23.75,43.34
1543293324.0,1,81660,3323,0.009659961,0.21734912250000002,67.57,23.7,43.87
1543293680.0,-1,-1,0,0.0,0.0,71.52,23.57,47.95
1543293736.0,2,85793,341,0.000991287,0.06372559285714285,71.06,23.55,47.51
1543294091.0,-1,-1,0,0.0,0.0,71.29,23.43,47.86
1543294391.0,-1,-1,0,0.0,0.0,71.97,23.32,48.65
1543294634.0,4,91198,0,0.0,0.0,72.87,23.24,49.63
1543294991.0,-1,-1,0,0.0,0.0,70.14,23.14,47.0
1543295291.0,-1,-1,6038,0.017552466,0.210629592,68.75,23.08,45.67
1543295590.0,-1,-1,0,0.0,0.0,68.51,23.02,45.49
1543295890.0,-1,-1,0,0.0,0.0,67.8,22.96,44.84
1543295947.0,2,91704,0,0.0,0.0,67.57,22.95,44.62
1543296117.0,4,92730,0,0.0,0.0,67.33,22.92,44.41
1543296174.0,1,93327,0,0.0,0.0,68.04,22.91,45.13
1543296476.0,4,96527,0,0.0,0.0,71.06,22.84,48.22
1543296533.0,2,96869,0,0.0,0.0,72.19,22.83,49.36
1543296889.0,-1,-1,0,0.0,0.0,71.52,22.76,48.76
1543297188.0,-1,-1,551,0.0016017569999999999,0.01928536856187291,71.97,22.7,49.27
