Stove type: M2200,,Latitude of the PUMA device location,[64.85657],Longitude of the PUMA device location,[-147.893],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543842259.0,-1,-1,0,0.0,0.0,66.37,21.8,44.57
1543842559.0,-1,-1,0,0.0,0.0,65.65,21.88,43.77
1543842859.0,-1,-1,0,0.0,0.0,65.89,21.95,43.94
1543843159.0,-1,-1,0,0.0,0.0,65.4,22.03,43.37
1543843459.0,-1,-1,0,0.0,0.0,65.89,22.1,43.79
1543843759.0,-1,-1,0,0.0,0.0,65.4,22.18,43.22
1543843981.0,2,914,50,0.00021774999999999998,0.0035310810810810804,64.92,22.24,42.68
1543844280.0,4,2502,0,0.0,0.0,65.65,22.31,43.34
1543844337.0,1,2966,1588,0.00691574,0.4367835789473684,65.65,22.32,43.33
1543844477.0,4,4119,0,0.0,0.0,67.09,22.36,44.73
1543844834.0,-1,-1,464,0.0020207199999999997,0.020377008403361343,66.61,22.45,44.16
1543845135.0,-1,-1,0,0.0,0.0,64.67,22.52,42.15
1543845435.0,-1,-1,1153,0.005021315,0.06025578,64.92,22.6,42.32
1543845735.0,-1,-1,0,0.0,0.0,65.16,22.65,42.51
1543846035.0,-1,-1,0,0.0,0.0,65.16,22.66,42.5
1543846335.0,-1,-1,0,0.0,0.0,64.43,22.68,41.75
1543846635.0,-1,-1,0,0.0,0.0,64.67,22.69,41.98
1543846935.0,-1,-1,0,0.0,0.0,64.43,22.71,41.72
1543847236.0,-1,-1,0,0.0,0.0,63.69,22.72,40.97
1543847536.0,-1,-1,0,0.0,0.0,63.69,22.74,40.95
1543847836.0,-1,-1,0,0.0,0.0,63.19,22.75,40.44
1543848136.0,-1,-1,0,0.0,0.0,62.94,22.77,40.17
1543848436.0,-1,-1,0,0.0,0.0,62.94,22.78,40.16
1543848736.0,-1,-1,0,0.0,0.0,62.69,22.8,39.89
1543849036.0,-1,-1,0,0.0,0.0,62.94,22.81,40.13
1543849337.0,-1,-1,0,0.0,0.0,62.69,22.83,39.86
1543849637.0,-1,-1,0,0.0,0.0,61.67,22.86,38.81
1543849937.0,-1,-1,0,0.0,0.0,61.42,22.89,38.53
1543850237.0,-1,-1,0,0.0,0.0,61.42,22.92,38.5
1543850537.0,-1,-1,0,0.0,0.0,61.16,22.95,38.21
1543850838.0,-1,-1,0,0.0,0.0,61.42,22.98,38.44
1543851138.0,-1,-1,0,0.0,0.0,61.42,23.01,38.41
1543851438.0,-1,-1,0,0.0,0.0,61.16,23.04,38.12
1543851738.0,-1,-1,0,0.0,0.0,61.42,23.07,38.35
1543852039.0,-1,-1,0,0.0,0.0,60.64,23.1,37.54
1543852339.0,-1,-1,0,0.0,0.0,60.64,23.13,37.51
1543852639.0,-1,-1,0,0.0,0.0,60.39,23.16,37.23
1543852940.0,-1,-1,0,0.0,0.0,59.6,23.19,36.41
1543853240.0,-1,-1,0,0.0,0.0,60.13,23.2,36.93
1543853540.0,-1,-1,0,0.0,0.0,60.39,23.22,37.17
1543853840.0,-1,-1,0,0.0,0.0,60.39,23.23,37.16
1543854140.0,-1,-1,0,0.0,0.0,59.87,23.25,36.62
1543854440.0,-1,-1,0,0.0,0.0,59.87,23.26,36.61
1543854740.0,-1,-1,0,0.0,0.0,59.34,23.28,36.06
1543855041.0,-1,-1,0,0.0,0.0,59.34,23.29,36.05
1543855341.0,-1,-1,0,0.0,0.0,59.6,23.31,36.29
1543855641.0,-1,-1,0,0.0,0.0,59.34,23.32,36.02
1543855941.0,-1,-1,0,0.0,0.0,59.6,23.34,36.26
1543856013.0,2,4122,0,0.0,0.0,59.34,23.34,36.0
1543856312.0,4,5711,0,0.0,0.0,61.42,23.36,38.06
1543856368.0,1,6174,0,0.0,0.0,62.43,23.36,39.07
1543856425.0,2,6569,0,0.0,0.0,62.69,23.36,39.33
1543856693.0,4,8124,3,1.3065e-05,0.00017549999999999998,65.16,23.39,41.77
1543856750.0,3,8389,0,0.0,0.0,65.65,23.39,42.26
1543857104.0,-1,-1,1589,0.006920094999999999,0.07037384745762712,65.65,23.43,42.22
1543857369.0,4,11271,0,0.0,0.0,65.89,23.46,42.43
1543857726.0,-1,-1,463,0.002016365,0.02033309243697479,64.67,23.49,41.18
1543858026.0,-1,-1,0,0.0,0.0,63.44,23.52,39.92
1543858327.0,-1,-1,395,0.001720225,0.0205741196013289,63.69,23.55,40.14
1543858627.0,-1,-1,0,0.0,0.0,63.69,23.58,40.11
1543858927.0,-1,-1,1555,0.006772025,0.0812643,63.44,23.61,39.83
1543859227.0,-1,-1,0,0.0,0.0,62.69,23.64,39.05
1543859527.0,-1,-1,265,0.0011540749999999998,0.013848899999999999,62.69,23.67,39.02
1543859828.0,-1,-1,0,0.0,0.0,62.69,23.7,38.99
1543860128.0,-1,-1,0,0.0,0.0,61.16,23.71,37.45
1543860428.0,-1,-1,2882,0.012551109999999999,0.15061332,61.16,23.68,37.48
1543860728.0,-1,-1,0,0.0,0.0,60.9,23.65,37.25
1543861029.0,-1,-1,0,0.0,0.0,61.16,23.62,37.54
1543861329.0,-1,-1,0,0.0,0.0,59.87,23.59,36.28
1543861629.0,-1,-1,0,0.0,0.0,60.13,23.56,36.57
1543861929.0,-1,-1,0,0.0,0.0,60.13,23.53,36.6
1543862229.0,-1,-1,0,0.0,0.0,60.13,23.5,36.63
1543862529.0,-1,-1,0,0.0,0.0,59.08,23.47,35.61
1543862829.0,-1,-1,0,0.0,0.0,59.87,23.44,36.43
1543863130.0,-1,-1,0,0.0,0.0,59.34,23.41,35.93
1543863392.0,2,11271,0,0.0,0.0,59.34,23.38,35.96
1543863691.0,4,12861,0,0.0,0.0,61.42,23.37,38.05
1543863748.0,1,13324,0,0.0,0.0,61.93,23.38,38.55
1543863806.0,2,13795,0,0.0,0.0,62.94,23.39,39.55
1543864141.0,3,15738,0,0.0,0.0,64.43,23.44,40.99
1543864498.0,-1,-1,0,0.0,0.0,64.92,23.49,41.43
1543864798.0,-1,-1,0,0.0,0.0,65.89,23.54,42.35
1543864939.0,4,19450,0,0.0,0.0,65.4,23.56,41.84
1543865296.0,-1,-1,0,0.0,0.0,63.69,23.61,40.08
1543865596.0,-1,-1,0,0.0,0.0,63.44,23.66,39.78
1543865896.0,-1,-1,0,0.0,0.0,63.69,23.7,39.99
1543866197.0,-1,-1,0,0.0,0.0,63.44,23.75,39.69
1543866497.0,-1,-1,1590,0.0069244499999999995,0.0830934,62.43,23.79,38.64
1543866797.0,-1,-1,0,0.0,0.0,61.42,23.84,37.58
1543866927.0,2,19454,463,0.002016365,0.0558378,61.93,23.86,38.07
1543867225.0,1,21044,0,0.0,0.0,62.94,23.91,39.03
1543867281.0,0,21563,471,0.002051205,0.13186317857142857,63.93,23.92,40.01
1543867635.0,-1,-1,0,0.0,0.0,68.51,24.01,44.5
1543867936.0,-1,-1,1943,0.008461765,0.1012038338870432,70.6,24.08,46.52
1543868236.0,-1,-1,0,0.0,0.0,72.42,24.16,48.26
1543868536.0,-1,-1,0,0.0,0.0,73.32,24.23,49.09
1543868836.0,-1,-1,0,0.0,0.0,73.54,24.31,49.23
1543869136.0,-1,-1,3712,0.016165759999999998,0.19398911999999996,73.98,24.38,49.6
