Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.89185],Longitude of the PUMA device location,[-147.755],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1544463238.0,2,0,0,0.0,0.0,65.89,-3.51,69.4
1544463406.0,2,0,0,0.0,0.0,66.13,-3.49,69.62
1544463509.0,2,1194,818,0.002755024,0.18032884363636364,19.83,-3.47,23.3
1544463554.0,4,1384,0,0.0,0.0,76.61,-3.47,80.08
1544463901.0,-1,-1,190,0.00063992,0.006638939481268011,72.42,-3.41,75.83
1544464201.0,-1,-1,0,0.0,0.0,69.68,-3.37,73.05
1544464501.0,-1,-1,0,0.0,0.0,69.45,-3.32,72.77
1544464800.0,-1,-1,0,0.0,0.0,68.75,-3.28,72.03
1544465100.0,-1,-1,0,0.0,0.0,67.8,-3.08,70.88
1544465400.0,-1,-1,0,0.0,0.0,67.09,-2.89,69.98
1544465700.0,-1,-1,0,0.0,0.0,67.33,-2.69,70.02
1544465999.0,-1,-1,0,0.0,0.0,66.61,-2.5,69.11
1544466299.0,-1,-1,0,0.0,0.0,66.85,-2.31,69.16
1544466455.0,1,1385,0,0.0,0.0,66.13,-2.2,68.33
1544466499.0,2,2007,0,0.0,0.0,66.37,-2.18,68.55
1544466679.0,1,3451,1,3.368e-06,6.736e-05,65.65,-2.06,67.71
1544466922.0,2,7069,0,0.0,0.0,71.06,-1.9,72.96
1544467268.0,-1,-1,622,0.002094896,0.021796605780346822,68.51,-1.68,70.19
1544467567.0,-1,-1,0,0.0,0.0,69.91,-1.48,71.39
1544467867.0,-1,-1,1444,0.004863392,0.058360704000000006,68.98,-1.29,70.27
1544468167.0,-1,-1,0,0.0,0.0,69.91,-1.09,71.0
1544468466.0,-1,-1,3618,0.012185424,0.14671413511705686,69.45,-0.91,70.36
1544468766.0,-1,-1,0,0.0,0.0,70.37,-0.78,71.15
1544469065.0,-1,-1,0,0.0,0.0,68.98,-0.64,69.62
1544469365.0,-1,-1,0,0.0,0.0,69.91,-0.51,70.42
1544469665.0,-1,-1,0,0.0,0.0,70.6,-0.37,70.97
1544469964.0,-1,-1,0,0.0,0.0,70.14,-0.24,70.38
1544470264.0,-1,-1,0,0.0,0.0,69.68,-0.1,69.78
1544470564.0,-1,-1,0,0.0,0.0,71.06,0.03,71.03
1544470863.0,-1,-1,0,0.0,0.0,70.6,0.17,70.43
1544471163.0,-1,-1,0,0.0,0.0,71.06,0.3,70.76
1544471462.0,-1,-1,0,0.0,0.0,71.06,0.44,70.62
1544471761.0,-1,-1,0,0.0,0.0,71.74,0.57,71.17
1544472061.0,-1,-1,0,0.0,0.0,71.74,0.7,71.04
1544472174.0,4,48990,0,0.0,0.0,71.52,0.72,70.8
1544472520.0,-1,-1,0,0.0,0.0,71.74,0.81,70.93
1544472820.0,-1,-1,0,0.0,0.0,70.37,0.89,69.48
1544473119.0,-1,-1,0,0.0,0.0,68.98,0.96,68.02
1544473419.0,-1,-1,0,0.0,0.0,69.21,1.03,68.18
1544473719.0,-1,-1,0,0.0,0.0,68.75,1.11,67.64
1544474018.0,-1,-1,41921,0.14118992800000002,1.6999456214046826,66.85,1.18,65.67
1544474318.0,-1,-1,0,0.0,0.0,66.85,1.26,65.59
1544474618.0,-1,-1,0,0.0,0.0,67.33,1.33,66.0
1544474917.0,-1,-1,0,0.0,0.0,66.37,1.41,64.96
1544475217.0,-1,-1,0,0.0,0.0,66.37,1.48,64.89
1544475402.0,1,48993,0,0.0,0.0,66.61,1.53,65.08
1544475448.0,2,49627,0,0.0,0.0,66.13,1.54,64.59
1544475626.0,1,51053,0,0.0,0.0,65.65,1.6,64.05
1544475863.0,2,54581,0,0.0,0.0,71.29,1.75,69.54
1544476208.0,-1,-1,0,0.0,0.0,68.04,1.98,66.06
1544476508.0,-1,-1,0,0.0,0.0,69.45,2.17,67.28
1544476808.0,-1,-1,0,0.0,0.0,67.57,2.37,65.2
1544477107.0,-1,-1,3,1.0104e-05,0.00012165351170568562,69.21,2.56,66.65
1544477406.0,-1,-1,0,0.0,0.0,68.98,2.75,66.23
1544477706.0,-1,-1,634,0.0021353120000000003,0.025623744000000004,69.68,2.95,66.73
1544478006.0,-1,-1,0,0.0,0.0,69.68,3.14,66.54
1544478305.0,-1,-1,1426,0.004802768000000001,0.05782596923076924,69.91,3.34,66.57
1544478605.0,-1,-1,0,0.0,0.0,58.82,3.53,55.29
1544478905.0,-1,-1,3528,0.011882304000000002,0.142587648,53.88,3.73,50.15
1544479204.0,-1,-1,0,0.0,0.0,52.74,3.92,48.82
1544479504.0,-1,-1,0,0.0,0.0,54.17,3.81,50.36
1544479803.0,-1,-1,0,0.0,0.0,53.6,3.71,49.89
1544480103.0,-1,-1,0,0.0,0.0,53.6,3.6,50.0
1544480402.0,-1,-1,0,0.0,0.0,53.88,3.5,50.38
1544480701.0,-1,-1,0,0.0,0.0,55.01,3.39,51.62
1544481001.0,-1,-1,0,0.0,0.0,53.88,3.29,50.59
1544481300.0,-1,-1,0,0.0,0.0,54.73,3.19,51.54
1544481599.0,-1,-1,0,0.0,0.0,54.45,3.08,51.37
1544481899.0,-1,-1,0,0.0,0.0,53.6,2.98,50.62
1544482198.0,-1,-1,0,0.0,0.0,54.73,2.87,51.86
1544482498.0,-1,-1,0,0.0,0.0,53.88,2.77,51.11
1544482797.0,-1,-1,0,0.0,0.0,53.88,2.66,51.22
1544483096.0,-1,-1,0,0.0,0.0,54.45,2.6,51.85
1544483395.0,-1,-1,0,0.0,0.0,54.45,2.54,51.91
1544483662.0,4,116808,0,0.0,0.0,54.73,2.49,52.24
1544484008.0,-1,-1,0,0.0,0.0,54.17,2.42,51.75
1544484308.0,-1,-1,0,0.0,0.0,53.88,2.36,51.52
1544484607.0,-1,-1,0,0.0,0.0,53.6,2.3,51.3
1544484907.0,-1,-1,0,0.0,0.0,53.32,2.24,51.08
1544485206.0,-1,-1,0,0.0,0.0,53.6,2.18,51.42
1544485506.0,-1,-1,0,0.0,0.0,53.88,2.12,51.76
1544485805.0,-1,-1,0,0.0,0.0,52.16,2.06,50.1
1544486105.0,-1,-1,0,0.0,0.0,53.32,2.0,51.32
1544486470.0,-1,-1,0,0.0,0.0,55.01,1.94,53.07
1544486530.0,1,116811,0,0.0,0.0,53.32,1.94,51.38
1544486576.0,2,117456,62227,0.209580536,16.40195499130435,52.74,1.94,50.8
1544486755.0,1,118890,0,0.0,0.0,51.87,1.94,49.93
1544487000.0,2,122542,0,0.0,0.0,53.03,1.94,51.09
1544487346.0,-1,-1,0,0.0,0.0,53.03,1.94,51.09
1544487646.0,-1,-1,0,0.0,0.0,53.6,1.94,51.66
1544487945.0,-1,-1,0,0.0,0.0,52.74,1.94,50.8
1544488244.0,-1,-1,0,0.0,0.0,52.74,1.94,50.8
1544488544.0,-1,-1,0,0.0,0.0,53.32,1.94,51.38
1544488843.0,-1,-1,0,0.0,0.0,53.6,1.94,51.66
1544489143.0,-1,-1,0,0.0,0.0,53.88,1.94,51.94
1544489442.0,-1,-1,0,0.0,0.0,53.88,1.94,51.94
1544489742.0,-1,-1,3,1.0104e-05,0.000121248,53.03,1.94,51.09
1544490041.0,-1,-1,0,0.0,0.0,53.88,1.93,51.95
