Stove type: Laser 530,,Latitude of the PUMA device location,[64.78939],Longitude of the PUMA device location,[-148.07],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543861000.0,-1,-1,0,0.0,0.0,79.18,23.62,55.56
1543861300.0,-1,-1,0,0.0,0.0,76.4,23.59,52.81
1543861600.0,-1,-1,0,0.0,0.0,74.65,23.56,51.09
1543861900.0,-1,-1,0,0.0,0.0,74.65,23.53,51.12
1543862059.0,1,1204,8,2.3256e-05,0.0005265509433962264,74.21,23.51,50.7
1543862377.0,2,3791,0,0.0,0.0,77.26,23.48,53.78
1543862693.0,4,5787,2587,0.007520409,0.08567554556962025,78.33,23.45,54.88
1543863050.0,-1,-1,0,0.0,0.0,76.61,23.41,53.2
1543863350.0,-1,-1,1996,0.005802372,0.069628464,75.3,23.38,51.92
1543863649.0,-1,-1,0,0.0,0.0,75.3,23.37,51.93
1543863949.0,-1,-1,0,0.0,0.0,74.42,23.41,51.01
1543864031.0,1,5795,0,0.0,0.0,74.87,23.42,51.45
1543864348.0,4,8374,0,0.0,0.0,76.83,23.47,53.36
1543864405.0,2,8731,0,0.0,0.0,77.04,23.48,53.56
1543864706.0,4,10631,8,2.3256e-05,0.0002781448504983389,78.54,23.53,55.01
1543865091.0,-1,-1,0,0.0,0.0,76.18,23.58,52.6
1543865390.0,-1,-1,2579,0.0074971529999999995,0.09026672508361204,75.52,23.63,51.89
1543865690.0,-1,-1,0,0.0,0.0,74.65,23.67,50.98
1543865975.0,1,10645,357,0.001037799,0.01310904,74.65,23.72,50.93
1543866291.0,4,13218,0,0.0,0.0,76.4,23.76,52.64
1543866348.0,2,13575,1900,0.0055233,0.34884,77.04,23.77,53.27
1543866704.0,-1,-1,0,0.0,0.0,77.47,23.83,53.64
1543866778.0,4,16182,0,0.0,0.0,77.69,23.84,53.85
1543867135.0,-1,-1,0,0.0,0.0,76.18,23.89,52.29
1543867435.0,-1,-1,0,0.0,0.0,75.3,23.96,51.34
1543867734.0,-1,-1,14,4.0697999999999996e-05,0.0004900093645484949,74.21,24.03,50.18
1543867791.0,1,16450,0,0.0,0.0,74.65,24.05,50.6
1543868077.0,4,18727,2573,0.007479711,0.0941502083916084,76.18,24.12,52.06
1543868148.0,2,19173,0,0.0,0.0,76.61,24.14,52.47
1543868532.0,-1,-1,357,0.001037799,0.009729365625000002,77.9,24.23,53.67
1543868588.0,4,21863,0,0.0,0.0,77.9,24.25,53.65
1543868945.0,-1,-1,0,0.0,0.0,76.61,24.34,52.27
1543869244.0,-1,-1,2607,0.0075785489999999995,0.09124674381270903,75.3,24.41,50.89
1543869544.0,-1,-1,0,0.0,0.0,74.87,24.49,50.38
1543869631.0,1,21863,0,0.0,0.0,74.21,24.51,49.7
1543869946.0,2,24421,0,0.0,0.0,76.83,24.59,52.24
1543870302.0,-1,-1,0,0.0,0.0,77.69,24.68,53.01
1543870602.0,-1,-1,268,0.000779076,0.009348912,77.9,24.75,53.15
1543870658.0,4,28654,0,0.0,0.0,78.11,24.76,53.35
1543871015.0,-1,-1,2277,0.006619239,0.06674862857142858,76.83,24.82,52.01
1543871314.0,-1,-1,0,0.0,0.0,75.3,24.85,50.45
1543871614.0,-1,-1,446,0.001296522,0.015558264,73.98,24.88,49.1
1543871681.0,1,29060,0,0.0,0.0,73.98,24.89,49.09
1543871951.0,2,31211,0,0.0,0.0,76.61,24.92,51.69
1543872307.0,-1,-1,2690,0.00781983,0.07907693258426966,78.11,24.95,53.16
1543872406.0,4,34080,0,0.0,0.0,77.69,24.96,52.73
1543872777.0,-1,-1,0,0.0,0.0,76.61,25.0,51.61
1543873076.0,-1,-1,0,0.0,0.0,75.08,25.03,50.05
1543873376.0,-1,-1,0,0.0,0.0,74.42,25.06,49.36
1543873433.0,1,34301,0,0.0,0.0,74.65,25.06,49.59
1543873726.0,4,36635,2558,0.007436106,0.09136512491467577,75.96,25.09,50.87
1543873782.0,2,36991,0,0.0,0.0,76.83,25.1,51.73
1543874138.0,-1,-1,0,0.0,0.0,77.04,25.13,51.91
1543874391.0,4,40831,0,0.0,0.0,77.9,25.16,52.74
1543874748.0,-1,-1,4233,0.012305331,0.12408737142857143,75.96,25.18,50.78
1543875047.0,-1,-1,0,0.0,0.0,75.08,25.19,49.89
1543875329.0,1,40833,0,0.0,0.0,74.21,25.21,49.0
1543875643.0,4,43383,0,0.0,0.0,76.4,25.22,51.18
1543875714.0,2,43829,0,0.0,0.0,76.83,25.23,51.6
1543876050.0,-1,-1,406,0.001180242,0.01264545,77.47,25.24,52.23
1543876349.0,-1,-1,0,0.0,0.0,77.47,25.26,52.21
1543876478.0,4,48649,2151,0.006252957,0.17450112558139536,77.69,25.26,52.43
1543876835.0,-1,-1,0,0.0,0.0,75.74,25.28,50.46
1543877135.0,-1,-1,0,0.0,0.0,75.08,25.3,49.78
1543877366.0,1,48649,2869,0.008340183,0.12997687792207793,74.42,25.31,49.11
1543877679.0,4,51180,0,0.0,0.0,76.61,25.32,51.29
1543877735.0,2,51537,0,0.0,0.0,76.83,25.33,51.5
1543878106.0,-1,-1,0,0.0,0.0,77.26,25.35,51.91
1543878406.0,-1,-1,0,0.0,0.0,77.69,25.38,52.31
1543878542.0,4,56624,221,0.000642447,0.01700595,78.11,25.39,52.72
1543878898.0,-1,-1,0,0.0,0.0,76.83,25.43,51.4
1543879198.0,-1,-1,2334,0.006784938,0.081419256,74.87,25.46,49.41
1543879459.0,1,56629,0,0.0,0.0,73.98,25.49,48.49
1543879773.0,2,59171,356,0.001034892,0.01186500382165605,76.18,25.52,50.66
1543880129.0,-1,-1,0,0.0,0.0,76.83,25.55,51.28
1543880429.0,-1,-1,0,0.0,0.0,77.69,25.58,52.11
1543880730.0,-1,-1,3840,0.01116288,0.13350952823920267,77.9,25.61,52.29
1543880876.0,4,66128,0,0.0,0.0,77.69,25.63,52.06
1543881233.0,-1,-1,0,0.0,0.0,76.18,25.66,50.52
1543881532.0,-1,-1,0,0.0,0.0,74.87,25.69,49.18
1543881806.0,1,66131,2,5.814e-06,7.638832116788321e-05,73.98,25.66,48.32
1543882119.0,4,68663,0,0.0,0.0,76.18,25.6,50.58
1543882175.0,2,69019,2550,0.0074128499999999995,0.4765403571428571,76.83,25.59,51.24
1543882531.0,-1,-1,0,0.0,0.0,77.69,25.51,52.18
1543882831.0,-1,-1,446,0.001296522,0.015558264,77.47,25.45,52.02
1543883095.0,4,74822,0,0.0,0.0,78.11,25.4,52.71
1543883452.0,-1,-1,0,0.0,0.0,76.61,25.33,51.28
1543883751.0,-1,-1,0,0.0,0.0,74.87,25.27,49.6
1543883964.0,1,74823,4820,0.01401174,0.2368181408450704,74.42,25.23,49.19
1543884277.0,4,77362,0,0.0,0.0,76.18,25.16,51.02
1543884334.0,2,77718,0,0.0,0.0,76.61,25.15,51.46
1543884690.0,-1,-1,0,0.0,0.0,77.04,25.08,51.96
1543884990.0,-1,-1,0,0.0,0.0,77.47,25.02,52.45
1543885290.0,-1,-1,2531,0.0073576169999999995,0.08829140399999999,77.47,24.99,52.48
1543885466.0,4,84859,0,0.0,0.0,77.47,25.02,52.45
1543885847.0,-1,-1,357,0.001037799,0.009805974803149606,75.96,25.08,50.88
